"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"filename: bgpdcapd.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"table #: Appendix D, 50 individual figures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"report title: Bridging Gaps in Police Crime Data    NCJ 176365 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  FBI, Crime in the United States, 1958-97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"author:  Michael D. Maltz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to: mikem@uic.edu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version: 10/27/99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix D:  Extent of UCR Data Coverage, Alabama-Wyoming, 1958-97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Year",,"Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming",,"Total US"
1958,,69.77%,,91.04%,54.89%,98.42%,88.05%,97.87%,95.62%,0.00%,81.62%,63.61%,,88.15%,89.98%,97.11%,87.46%,86.72%,64.58%,95.61%,96.91%,92.28%,97.40%,98.80%,91.27%,42.31%,84.96%,87.42%,88.78%,97.25%,96.43%,96.63%,91.42%,95.82%,63.03%,86.39%,87.75%,79.02%,86.64%,93.81%,96.56%,59.35%,77.69%,53.80%,80.94%,77.59%,94.38%,98.22%,94.74%,94.85%,90.14%,91.45%,,87.61%
1959,,67.78%,93.69%,90.30%,52.69%,99.12%,91.74%,95.26%,98.30%,0.00%,80.69%,61.58%,93.28%,79.06%,90.66%,96.49%,92.56%,91.03%,63.70%,95.63%,94.49%,94.00%,97.84%,98.98%,97.61%,34.42%,82.02%,91.63%,89.62%,92.95%,98.74%,86.82%,90.45%,97.38%,68.36%,89.43%,92.19%,79.65%,92.92%,94.90%,89.79%,64.81%,73.45%,56.96%,82.05%,84.62%,95.86%,99.45%,96.93%,94.56%,92.38%,92.60%,,88.44%
1960,,70.18%,98.58%,92.69%,59.37%,98.86%,93.87%,94.99%,97.56%,0.00%,74.16%,65.02%,100.00%,91.53%,90.47%,95.89%,92.64%,89.66%,71.25%,75.53%,90.78%,95.35%,94.97%,98.04%,95.01%,51.50%,81.86%,94.51%,92.36%,93.87%,98.30%,87.97%,87.95%,97.96%,70.47%,89.35%,93.16%,81.24%,94.10%,89.74%,96.15%,62.88%,81.24%,62.12%,81.12%,69.83%,93.95%,98.94%,95.98%,91.08%,91.73%,91.95%,,88.15%
1961,,80.53%,95.28%,90.16%,65.33%,95.70%,96.11%,94.64%,97.44%,0.00%,86.56%,72.24%,96.31%,94.44%,95.37%,97.66%,95.71%,96.89%,79.13%,87.76%,92.64%,94.50%,94.62%,97.99%,97.17%,66.46%,91.03%,94.63%,93.69%,88.47%,94.87%,94.16%,94.54%,96.79%,76.10%,93.37%,95.49%,88.88%,96.69%,94.85%,97.39%,77.28%,86.14%,72.47%,88.15%,91.80%,72.75%,96.98%,96.77%,95.05%,95.44%,94.10%,,91.70%
1962,,77.09%,100.00%,99.19%,65.84%,99.88%,98.46%,99.48%,100.00%,0.00%,91.80%,68.78%,100.02%,88.73%,95.05%,98.58%,98.08%,97.77%,79.98%,89.65%,91.14%,99.53%,96.50%,99.44%,97.86%,51.21%,93.25%,96.40%,95.28%,91.41%,75.84%,95.02%,94.99%,99.16%,75.21%,92.26%,97.66%,89.42%,99.30%,96.42%,97.65%,70.42%,87.75%,74.85%,90.05%,94.17%,70.28%,99.55%,98.39%,93.37%,96.80%,97.32%,,93.04%
1963,,71.87%,98.42%,96.94%,62.52%,99.89%,97.26%,98.45%,99.03%,0.00%,92.66%,65.11%,100.14%,94.90%,94.94%,98.13%,94.51%,98.03%,76.62%,78.23%,96.81%,96.44%,95.82%,99.27%,70.91%,45.79%,92.18%,93.55%,94.47%,90.21%,95.98%,97.54%,98.75%,98.79%,71.37%,90.74%,96.04%,93.21%,98.75%,95.09%,100.00%,64.73%,87.36%,69.32%,89.50%,96.17%,94.04%,99.60%,99.50%,95.67%,95.49%,96.36%,,91.64%
1964,,70.85%,98.36%,96.90%,60.91%,99.91%,97.83%,98.02%,99.38%,0.00%,87.35%,64.50%,100.00%,93.21%,93.63%,96.47%,94.19%,95.67%,72.41%,78.54%,85.46%,97.75%,96.13%,99.21%,98.41%,50.61%,89.14%,94.62%,92.48%,94.03%,91.73%,96.52%,89.49%,99.84%,73.51%,90.66%,95.22%,89.79%,98.70%,94.76%,97.77%,64.49%,81.74%,70.55%,89.86%,95.73%,95.68%,99.24%,99.06%,93.37%,91.38%,87.14%,,91.47%
1965,,67.89%,96.62%,98.78%,65.79%,99.52%,95.45%,97.93%,99.39%,0.00%,87.53%,68.91%,100.00%,92.20%,93.17%,97.54%,92.97%,96.24%,71.57%,85.62%,90.82%,98.14%,95.81%,98.94%,98.44%,49.70%,90.65%,96.80%,90.78%,93.97%,93.94%,97.61%,96.98%,99.83%,73.66%,90.72%,94.78%,90.45%,98.24%,94.60%,97.00%,60.34%,85.09%,67.91%,90.88%,94.11%,94.93%,99.00%,97.83%,93.46%,94.27%,87.60%,,91.72%
1966,,68.90%,96.68%,96.79%,61.11%,99.54%,96.19%,99.23%,100.00%,0.00%,88.62%,67.30%,100.00%,90.60%,93.69%,96.40%,91.98%,96.60%,95.04%,78.61%,91.20%,96.92%,94.95%,97.73%,97.43%,45.62%,88.07%,91.42%,90.09%,97.68%,96.51%,97.39%,100.00%,99.51%,69.14%,89.32%,92.60%,88.85%,98.62%,94.68%,96.15%,66.33%,80.26%,68.18%,89.43%,89.44%,93.84%,98.91%,97.96%,91.77%,93.89%,89.31%,,91.37%
1967,,74.68%,100.00%,97.80%,66.14%,99.38%,95.71%,98.86%,99.41%,0.00%,90.42%,67.96%,100.00%,92.47%,94.18%,97.04%,91.47%,96.11%,95.49%,82.17%,90.90%,96.37%,95.51%,99.23%,97.46%,46.35%,89.23%,95.52%,88.57%,93.08%,95.02%,99.55%,96.82%,99.08%,75.53%,90.43%,92.17%,90.67%,99.58%,93.78%,99.59%,65.32%,83.48%,68.16%,89.52%,91.56%,90.66%,98.93%,98.68%,92.74%,97.92%,93.83%,,92.08%
