"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,
"filename: corpop16.csv",,,,,,,,,,,,,,,,,,,,,,
"title: Sentenced male prisoners admitted to State or Federal jurisdiction*",,,,,,,,,,,,,,,,,,,,,,
"data source:  National Prisoner Statistics data series (NPS-1)",,,,,,,,,,,,,,,,,,,,,,
"authors:    Coliece Rice & Paige Harrison",,,,,,,,,,,,,,,,,,,,,,
"refer questions to: askbjs@ojp.usdoj.gov      (202)307-0765",,,,,,,,,,,,,,,,,,,,,,
"coordinators:   Tracy Snell & Laura Maruschak",,,,,,,,,,,,,,,,,,,,,,
"date of version:  08/02/00",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"The numbers presented in this spreadsheet may have been revised from those previously",,,,,,,,,,,,,,,,,,,,,,
"published and, therefore, may vary from numbers available from other sources.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sentenced male prisoners admitted to State or Federal jurisdiction*:",,,,,,,,,,,,,,,,,,,,,,
,12/31/1998,12/31/1997,"12/31/96",12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985,12/31/1984,12/31/1983,12/31/1982,12/31/1981,12/31/1980,12/31/1979,12/31/1978,12/31/1977
,,,,,,,,,,,,,,,,,,,,,,
"U.S. total",553241,528124,502823,512316,495964,474778,455615,440118,436341,423840,351539,315623,283941,253821,230337,234636,217313,200517,172747,162693,153323,153597
"Federal",35224,31190,27621,25028,24985,23238,"/","/","/",21330,17546,18273,18174,17824,15985,16535,14748,13156,12940,14736,14972,16331
"State",518017,496934,475202,487288,470979,451540,455615,440118,436341,402510,333993,297350,265767,235997,214352,218101,202565,187361,159807,147957,138351,137266
,,,,,,,,,,,,,,,,,,,,,,
"Northeast",60120,60168,60617,64647,64929,68570,67595,66303,65872,60240,46992,40905,37865,33841,31669,31937,28152,27120,23724,21757,20304,21117
"Connecticut",1766,1898,1074,1382,1704,6784,8824,10789,11254,9009,4352,3059,2613,2638,2574,2695,2666,2545,2918,2880,1960,1285
"Maine",732,810,770,695,746,728,791,850,844,924,607,674,596,496,470,608,550,516,556,538,486,670
"Massachusetts",2936,3138,3159,3822,5202,4514,5069,5051,4925,4644,4103,3757,3456,2996,2636,2146,2221,1957,1586,1509,1540,1729
"New Hampshire",930,965,923,892,986,890,868,775,654,546,495,423,396,329,295,275,274,285,211,210,208,254
"New Jersey",15350,14796,13814,13880,12174,11765,11583,11402,9966,9037,7190,6764,5669,5603,5077,5783,4358,4155,3756,3593,3543,3496
"New York",26702,27639,29760,32163,32103,33289,29709,27162,28244,26600,22450,19300,18255,14959,14216,14223,12272,12008,9919,9169,8572,9976
"Pennsylvania",10021,9002,9377,10440,10703,9293,9511,9018,8511,8217,6675,6026,5935,5911,5622,5425,5059,4876,4053,3330,3467,3180
"Rhode Island",924,929,973,844,883,837,776,801,820,764,635,452,521,500,441,499,421,359,316,274,235,289
"Vermont",759,991,767,529,428,470,464,455,654,499,485,450,424,409,338,283,331,419,409,254,293,238
,,,,,,,,,,,,,,,,,,,,,,
"Midwest",101512,96827,94231,91647,89331,84511,82658,77888,72853,68999,56223,51351,48930,46456,43441,44479,42876,43619,36258,31936,30733,31667
"Illinois",24727,24202,22279,22155,21653,20200,18588,17730,17188,13740,10238,10805,10738,10187,9559,10218,9364,11527,7776,6446,6299,6056
"Indiana",9519,8983,8051,7652,6623,6298,6007,5437,4783,4863,4822,4473,4214,4081,3880,4334,4175,4155,3528,2882,2465,2566
"Iowa",4210,3889,3685,3601,3673,3285,3065,2751,2826,2825,2543,2347,2174,2115,1952,1890,1736,1634,1205,1120,919,1021
"Kansas",4018,3717,3792,3671,3640,3513,3351,3204,3269,3043,2725,2364,2192,2053,1928,2104,2099,1745,1566,1528,1529,1738
"Michigan",13343,12892,12711,11726,11294,11681,12907,12582,12507,12567,10621,8635,8090,7867,7115,6763,6654,6542,6197,6115,6671,6836
"Minnesota",3963,3298,3074,3068,2897,2824,2689,2366,2223,2199,2031,1692,1550,1527,1414,1389,1452,1237,1114,1332,1284,1288
"Missouri",12003,11994,12026,10652,10258,8915,8438,8084,7506,8124,6196,5680,5048,4517,4103,3789,3557,3316,2973,2493,2474,2500
"Nebraska",1612,1470,1540,1511,1460,1322,1281,1282,1142,1154,976,758,743,662,589,571,648,918,784,495,524,564
"North Dakota",690,535,536,434,373,329,304,314,341,307,295,305,285,235,233,299,239,206,191,144,147,191
"Ohio",18260,17948,19099,19927,20720,20002,20863,19748,17090,16378,12572,10974,10597,10184,9745,10134,10339,9736,8692,7559,6553,6887
"South Dakota",1139,1022,1019,871,785,764,785,687,770,738,602,623,677,588,553,488,448,379,371,317,341,373
"Wisconsin ",8028,6877,6419,6379,5955,5378,4380,3703,3208,3061,2602,2695,2622,2440,2370,2500,2165,2224,1861,1505,1527,1647
,,,,,,,,,,,,,,,,,,,,,,
"South ",191616,179075,168787,188325,187583,173876,186538,175058,180701,166024,138345,127001,112309,100681,94038,98929,94631,84432,73828,67996,64383,64035
"Alabama",6996,8650,8866,8141,7754,7961,7448,7197,6781,6130,4915,4499,3973,4050,4393,4336,4168,3773,3584,2596,2631,2283
"Arkansas",5606,5236,4748,4800,3960,3428,4184,4156,3877,3293,2591,2963,2140,2124,2059,2083,2209,2338,2210,2108,1868,1634
"Delaware",1657,1597,1328,1174,1104,1195,1209,1086,983,1020,967,957,882,859,640,701,745,687,408,447,661,354
"Dist.of Col.",7306,6455,6223,4436,8341,7176,7279,6214,5848,5271,5227,3835,3144,3263,2426,2411,2526,2270,2185,2124,3443,3441
"Florida",23557,23667,22355,23974,27066,29117,31237,33792,39351,41377,33571,25553,19474,15249,12981,16848,13996,12909,9770,8502,8479,8799
"Georgia",13894,13940,14118,14016,14317,13945,14989,14469,15730,13970,9866,11833,9829,9225,9116,9324,9170,7312,6468,5546,5393,5383
"Kentucky",7120,7319,6894,6260,6029,5291,5335,4655,4291,4068,3654,2750,3004,2910,2694,3457,2979,3223,2864,2586,2435,2420
"Louisiana",15339,14165,12915,11761,11336,11112,9578,7767,6986,6294,5329,5614,4161,3657,4015,4255,3672,2794,3009,2149,2411,2975
"Maryland",10135,9503,8937,8923,8850,8173,8495,7991,7592,6905,5283,4650,4243,3837,3929,4294,4994,5635,5012,4946,4647,4647
"Mississippi",6004,5107,4986,4614,4006,4375,4112,3559,3484,3367,2940,2827,2790,2768,2755,2669,3016,2747,1857,2305,1152,651
"North Carolina",10492,11238,13043,17871,21543,23213,22832,19789,16916,14465,11775,10010,9041,8731,8429,8460,8943,8881,7941,8282,7243,7189
"Oklahoma",6160,6491,6396,6651,6213,6201,6359,5458,5701,6112,5507,5132,4638,4076,4006,4180,3609,2656,2444,2673,2186,2261
"South Carolina",8123,7521,7558,7696,7328,7558,7467,6488,6256,6126,5357,5366,5256,4622,4306,3963,4043,4157,4031,3603,3177,3498
"Tennessee",7830,8446,7539,6496,6027,6288,6227,5858,4475,4331,2052,2504,3443,4517,4808,4397,3987,4423,3461,3376,2976,3051
"Texas",51054,38961,33197,50272,41542,26760,37329,34543,42478,33949,32148,31748,30199,24910,21796,21402,19804,15623,14454,12524,11948,11216
"Virginia",9015,9792,8720,10229,11341,11259,11922,11382,9120,8501,6496,6006,5477,5026,4849,5275,6000,4210,3536,3666,3303,3797
"West Virginia",1328,987,964,1011,826,824,536,654,832,845,667,754,615,857,836,874,770,794,594,563,430,436
,,,,,,,,,,,,,,,,,,,,,,
"West",164769,160864,151567,142669,129136,124583,118824,120869,116915,107247,92433,78093,66663,55019,45204,42756,36906,32190,25997,26268,22931,20447
"Alaska",2304,2346,2089,1783,"/",2395,1365,1252,1264,986,1011,1013,1104,867,735,828,571,468,390,327,270,277
"Arizona",9241,8408,8184,7854,8383,7446,6979,7059,6086,5651,5025,5152,4308,3885,3214,3108,2915,2738,2101,1853,1774,1638
"California",121235,119919,112214,106319,96195,91184,87042,89019,88039,79989,67932,55195,45395,35230,27636,25819,21104,17032,13699,14766,11694,9608
"Colorado",6177,5710,5562,4811,4548,4130,4034,3720,3147,3222,3067,3136,2785,2477,2220,2209,1946,1780,1490,1288,1458,1452
"Hawaii",2879,2445,2015,1589,1636,1637,1382,1544,749,426,449,410,501,396,396,295,215,235,236,197,198,157
"Idaho",2242,2026,2223,2141,1491,1600,1329,1289,1013,1097,1003,849,857,924,799,815,785,717,581,623,616,636
"Montana",1132,1081,902,783,828,633,646,600,608,581,516,579,527,519,498,434,500,525,389,360,451,446
"Nevada",4254,4069,3835,3490,3355,2857,2900,2844,2818,2717,2284,1775,1905,1605,1321,1375,1334,1141,1014,869,779,718
"New Mexico",2194,2699,2494,2136,2163,2136,2082,1519,1733,1876,1909,1570,1723,1643,1419,1250,987,1200,636,793,730,849
"Oregon",3403,2997,3447,3433,2937,3323,4132,5623,5455,5180,4889,4477,3739,3456,3290,2804,2747,2485,2360,2330,1977,1857
"Utah",2734,2573,2323,2208,1847,1801,1546,1493,1363,1292,1005,875,946,933,989,820,760,759,547,469,421,406
"Washington",6293,5990,5731,5557,5226,4973,5015,4509,4211,3871,3011,2742,2556,2711,2372,2663,2682,2794,2315,2146,2347,2203
"Wyoming",681,601,548,565,527,468,372,398,429,359,332,320,317,373,315,336,360,316,239,247,216,200
,,,,,,,,,,,,,,,,,,,,,,
"Note:  Definitions of terms and notes pertaining to individual jurisdictions can be found",,,,,,,,,,,,,,,,,,,,,,
"in the most recent edition of ""Correctional Populations in the United States,"" which can be  ",,,,,,,,,,,,,,,,,,,,,,
"located at www.ojp.usdoj.gov/bjs/pubalp2.htm#Correctional Populations in the United States.",,,,,,,,,,,,,,,,,,,,,,
"*Includes only inmates with a sentence of more than 1 year. ",,,,,,,,,,,,,,,,,,,,,,
"/:Not reported",,,,,,,,,,,,,,,,,,,,,,
