"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,
"filename:   corpop20.csv",,,,,,,,,,,,,,,,,,,,,,
"title:  Female new court commitments admitted to State or Federal jurisdiction*",,,,,,,,,,,,,,,,,,,,,,
"data source:  National Prisoner Statistics data series (NPS-1)",,,,,,,,,,,,,,,,,,,,,,
"authors:  Coliece Rice & Paige Harrison",,,,,,,,,,,,,,,,,,,,,,
"refer questions to: askbjs@ojp.usdoj.gov      (202)307-0765",,,,,,,,,,,,,,,,,,,,,,
"coordinators:   Tracy Snell & Laura Maruschak",,,,,,,,,,,,,,,,,,,,,,
"date of version:   08/02/00",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"The numbers presented in this spreadsheet may have been revised from those previously",,,,,,,,,,,,,,,,,,,,,,
"published and, therefore, may vary from numbers available from other sources.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Female new court commitments admitted to State or Federal jurisdiction*:",,,,,,,,,,,,,,,,,,,,,,
,12/31/1998,12/31/1997,"12/31/96",12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985,12/31/1984,12/31/1983,12/31/1982,12/31/1981,12/31/1980,12/31/1979,12/31/1978,12/31/1977
,,,,,,,,,,,,,,,,,,,,,,
"U.S. total",40073,37152,35904,35061,31185,31157,29529,28829,28192,27824,21182,18535,16240,13905,12585,12521,11108,9531,8101,7729,7445,7918
"Federal",3395,2866,2508,2136,2140,2043,"/","/","/",1947,1498,1358,1298,1235,888,1133,685,598,578,732,988,1055
"State",36678,34286,33396,32925,29045,29114,29529,28829,28192,25877,19684,17177,14942,12670,11697,11388,10423,8933,7523,6997,6457,6863
,,,,,,,,,,,,,,,,,,,,,,
"Northeast",3329,3422,3149,3373,3457,3693,3852,4372,3611,3394,2286,1784,1572,1326,1478,1318,1193,1028,859,787,692,789
"Connecticut",73,73,26,64,77,315,420,581,446,395,291,99,87,81,117,80,65,74,170,165,103,83
"Maine",18,24,27,10,19,17,31,45,34,33,20,26,18,13,12,10,14,8,4,4,3,19
"Massachusetts",234,238,202,219,212,236,254,298,345,322,238,234,173,281,348,349,296,179,118,76,60,118
"New Hampshire",49,57,54,57,66,59,42,44,23,25,15,6,9,9,9,8,8,4,5,3,6,6
"New Jersey",854,885,717,729,741,679,729,619,577,474,361,338,262,221,236,216,184,198,132,135,133,145
"New York",1535,1675,1710,1835,1796,1881,1888,2263,1683,1612,1014,802,721,495,497,422,368,383,279,259,247,294
"Pennsylvania",498,428,360,390,498,457,436,483,446,491,315,268,283,205,238,223,241,174,141,135,130,116
"Rhode Island",52,32,43,37,38,31,36,27,36,28,22,6,17,15,9,8,14,5,7,3,4,6
"Vermont",16,10,10,32,10,18,16,12,21,14,10,5,2,6,12,2,3,3,3,7,6,2
,,,,,,,,,,,,,,,,,,,,,,
"Midwest",8746,8049,8083,7838,6859,6457,6436,5607,5252,4796,3700,3278,2964,2532,2430,2530,2417,2100,1740,1542,1589,1724
"Illinois",2096,2000,1856,1859,1460,1292,1188,961,905,679,609,510,492,401,421,373,401,357,250,151,140,236
"Indiana",952,826,741,640,529,501,480,458,432,409,333,329,283,300,258,299,249,228,190,174,120,102
"Iowa",370,332,282,282,240,205,213,185,202,178,132,109,74,84,47,56,52,86,67,51,51,60
"Kansas",372,345,361,342,219,199,244,161,194,248,186,155,154,138,145,146,126,87,74,77,90,88
"Michigan",623,627,617,626,592,603,707,654,666,653,490,428,371,314,344,344,314,263,302,264,348,331
"Minnesota",271,232,186,194,185,158,172,161,150,159,130,100,94,82,69,72,62,45,27,59,65,45
"Missouri",1015,989,895,770,770,685,640,433,385,322,286,345,283,210,158,168,151,140,117,97,102,116
"Nebraska",153,131,144,127,103,110,95,87,94,78,78,60,55,33,38,39,42,25,28,22,34,44
