"Bureau of Justice Statistics",,,,,,,,,,,,
"filename: corpop33.csv",,,,,,,,,,,,
"title: Total number of persons under Local, State, or Federal correctional supervision, 1993, 1988, 1983",,,,,,,,,,,,
"data source: BJS, National Prisoner Statistics data series (NPS-1)",,,,,,,,,,,,
"author: Paige Harrison",,,,,,,,,,,,
"refer questions to: askbjs@ojp.usdoj.gov      (202)307-0765",,,,,,,,,,,,
"coordinator:   Laura Maruschak",,,,,,,,,,,,
"date of version: 06/20/00",,,,,,,,,,,,
"1993 from A17:A83",,,,,,,,,,,,
"1988 data from A87:A153",,,,,,,,,,,,
"1983 data from A157:A223",,,,,,,,,,,,
,,,,,,,,,,,,
"The numbers presented in this spreadsheet may have been revised from those previously",,,,,,,,,,,,
"published and, therefore, may vary from numbers available from other sources.",,,,,,,,,,,,
,,,,,,,,,,,,
"Total number of persons under Local, State, or Federal correctional supervision",,,,,,,,,,,,
,,,,,,,1993,,,,,
,,,,,,,,,,,,"Number per "
"Regions and ","Prison",,"Jail*",,"Probation",,"Parole",,"Total",,"Resident ",100000
"Jurisdictions",,,,,,,,,,,"Population","Residents"
,,,,,,,,,,,,
"U.S. Total ",932074,,459804,,2843445,,671398,,4906721,,257782608,1903
"Federal ",74399,,0,,43095,,44156,,161650,,,
"State ",857675,,459804,,2800350,,627314,,4745143,,,
,,,,,,,,,,,,
"Northeast ",140060,,73871,,487861,,166806,,868598,,51253425,1695
"Connecticut",10508,,0,,50904,,624,,62036,,3272325,1896
"Maine ",1446,,704,,8650,,34,,10834,,1238256,875
"Massachusetts",9274,,7878,,47150,,4370,,68672,,6010884,1142
"New Hampshire",1775,,1127,,4122,,624,,7648,,1122191,682
"New Jersey ",23831,,15122,,109576,,35775,,184304,,7874891,2340
"New York ",64569,,29809,,156617,,52186,,303181,,18140894,1671
"Pennsylvania ",26045,,19231,,88180,,72100,,205556,,12022128,1710
"Rhode Island",1719,,0,,16604,,538,,18861,,997852,1890
"Vermont",893,,0,,6058,,555,,7506,,574004,1308
,,,,,,,,,,,,
"Midwest ",172709,,70646,,603391,,80970,,927716,,61176124,1516
"Illinois ",34495,,14549,,73550,,24177,,146771,,11725984,1252
"Indiana",14364,,8297,,82804,,2819,,108284,,5701965,1899
"Iowa",4898,,1602,,14505,,1887,,22892,,2820525,812
"Kansas",5727,,2797,,24083,,7141,,39748,,2547605,1560
"Michigan",39318,,12479,,139682,,14015,,205494,,9529240,2156
"Minnesota",4200,,3654,,74186,,2094,,84134,,4521709,1861
"Missouri",16178,,5030,,32916,,13643,,67767,,5237757,1294
"Nebraska",2467,,361,,14594,,815,,18237,,1612149,1131
"North Dakota",446,,1680,,1954,,91,,4171,,637229,655
"Ohio",40641,,11695,,98211,,6997,,157544,,11070385,1423
"South Dakota ",1553,,623,,3781,,676,,6633,,716258,926
"Wisconsin",8422,,7879,,43125,,6615,,66041,,5055318,1306
,,,,,,,,,,,,
"South ",364383,,210599,,1155168,,257188,,1987338,,89329642,2225
"Alabama",18169,,7072,,33721,,7284,,66246,,4193114,1580
"Arkansas",7984,,2846,,17527,,3940,,32297,,2423743,1333
"Delaware ",2781,,0,,15571,,914,,19266,,699475,2754
"Dist. of Columbia",8908,,1687,,10434,,6591,,27620,,576358,4792
"Florida",52883,,34183,,199275,,17326,,303667,,13713593,2214
"Georgia ",27079,,22663,,145230,,20790,,215762,,6894092,3130
"Kentucky ",10440,,6813,,11458,,4144,,32855,,3792288,866
"Louisiana",22468,,16208,,32434,,14463,,85573,,4284749,1997
"Maryland ",19121,,9358,,80208,,13858,,122545,,4942504,2479
"Mississippi",9601,,4851,,9943,,2003,,26398,,2635574,1002
"North Carolina ",21367,,8939,,86212,,17284,,133802,,6947412,1926
"Oklahoma",16409,,4102,,25689,,2503,,48703,,3228829,1508
"South Carolina ",17896,,5713,,38855,,5671,,68135,,3634507,1875
"Tennessee",12824,,14375,,40463,,11819,,79481,,5085666,1563
"Texas ",92013,,55395,,378523,,116021,,641952,,17996764,3567
"Virginia ",22635,,14623,,23619,,11504,,72381,,6464795,1120
"West Virginia ",1805,,1771,,6006,,1073,,10655,,1816179,587
,,,,,,,,,,,,
"West ",180523,,104688,,553930,,122278,,961419,,56023417,1716
"Alaska ",2703,,31,,3214,,685,,6633,,596993,1111
"Arizona",17160,,7231,,36815,,4017,,65223,,3993390,1633
"California",115573,,69298,,280749,,87018,,552638,,31147208,1774
"Colorado ",9462,,6316,,35494,,2731,,54003,,3560884,1517
"Hawaii",2330,,0,,10100,,1604,,14034,,1161508,1208
"Idaho",2606,,1485,,4749,,837,,9677,,1101204,879
"Montana ",1541,,680,,4107,,708,,7036,,839876,838
"Nevada",6246,,2987,,8826,,3398,,21457,,1380197,1555
"New Mexico ",3373,,3058,,7673,,1281,,15385,,1614937,953
"Oregon ",5111,,3777,,37902,,13687,,60477,,3034490,1993
"Utah ",2871,,1895,,7325,,2213,,14304,,1875993,762
"Washington ",10419,,7435,,114018,,3720,,135592,,5247704,2584
"Wyoming",1128,,495,,2958,,379,,4960,,469033,1057
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,"1988",,,,,
,,,,,,,,,,,,"Number per "
"Regions and ","Prison",,"Jail*",,"Probation",,"Parole",,"Total",,"Resident ",100000
"Jurisdictions",,,,,,,,,,,"Population","Residents"
,,,,,,,,,,,,
"U.S. Total",603732,,343569,,2356483,,407977,,3711761,,244498836,1518
"Federal ",42738,,0,,60534,,20487,,123759,,,
"State ",560994,,343569,,2295949,,387490,,3588002,,,
,,,,,,,,,,,,
"Northeast",94522,,57613,,435856,,104680,,692671,,50583925,1372
"Connecticut",4723,,0,,45883,,371,,50977,,3271958,1558
"Maine ",1214,,669,,6059,,0,,7942,,1203830,660
"Massachusetts",6455,,5454,,92347,,4333,,108589,,5979981,1816
"New Hampshire",1019,,789,,2948,,461,,5217,,1082576,482
"New Jersey ",16936,,11124,,59724,,18463,,106247,,7712334,1378
"New York ",44560,,25928,,120809,,33962,,225259,,17941310,1256
"Pennsylvania ",17883,,13649,,92296,,46466,,170294,,11845753,1438
"Rhode Island",1179,,0,,9824,,442,,11445,,996417,1149
"Vermont",553,,0,,5966,,182,,6701,,549766,1219
,,,,,,,,,,,,
"Midwest",120077,,50646,,499793,,51088,,721604,,59254030,1220
"Illinois ",21081,,9891,,90736,,14369,,136077,,11390176,1195
"Indiana",11271,,5235,,55931,,3411,,75848,,5491734,1381
"Iowa",3034,,1036,,13099,,1945,,19114,,2768392,690
"Kansas",5817,,1906,,19462,,3497,,30682,,2461987,1246
"Michigan",27612,,9404,,115274,,7677,,159967,,9218000,1735
"Minnesota",2799,,3227,,50184,,1639,,57849,,4296162,1347
"Missouri",12176,,4154,,42498,,7226,,66054,,5081730,1300
"Nebraska",2066,,288,,11411,,447,,14212,,1571464,904
"North Dakota",414,,1156,,1741,,163,,3474,,655273,530
"Ohio",26462,,9160,,70206,,5991,,111819,,10798562,1035
"South Dakota ",1020,,522,,2504,,617,,4663,,698148,668
"Wisconsin",6325,,4667,,26747,,4106,,41845,,4822402,868
,,,,,,,,,,,,
"South",226747,,143751,,924306,,157486,,1452290,,83890480,1742
"Alabama",12357,,4819,,25178,,4701,,47055,,4023848,1169
"Arkansas",5519,,1994,,15931,,3840,,27284,,2342638,1165
"Delaware ",2207,,0,,9576,,1093,,12876,,647585,1988
"Dist. of Columbia",6628,,1693,,12393,,3949,,24663,,630430,3912
"Florida",34681,,28236,,161989,,2562,,227468,,12306396,1848
"Georgia ",18018,,17482,,115268,,11308,,162076,,6316153,2566
"Kentucky ",7119,,4695,,7398,,3443,,22655,,3680003,616
"Louisiana",16242,,11222,,31218,,8097,,66779,,4288835,1557
"Maryland ",13572,,7486,,78619,,9225,,108902,,4657908,2338
"Mississippi",7251,,3501,,6854,,3177,,20783,,2580353,805
"North Carolina ",16251,,5469,,67164,,6191,,95075,,6480598,1467
"Oklahoma",10448,,2595,,23404,,1455,,37902,,3167058,1197
"South Carolina ",12902,,3497,,29223,,3672,,49294,,3412091,1445
"Tennessee",7732,,10858,,28761,,9529,,56880,,4822437,1179
"Texas ",40437,,29439,,288906,,77827,,436609,,16667025,2620
"Virginia ",13928,,9372,,17633,,6610,,47543,,6036911,788
"West Virginia ",1455,,1393,,4791,,807,,8446,,1830211,461
,,,,,,,,,,,,
"West",119648,,91559,,435994,,74236,,721437,,50770401,1440
"Alaska ",1862,,27,,2994,,489,,5372,,541982,991
"Arizona",11578,,6006,,25468,,2410,,45462,,3535179,1286
"California",73780,,64216,,262796,,49364,,450156,,28464253,1581
"Colorado ",5765,,4882,,23939,,1743,,36329,,3262281,1114
"Hawaii",1510,,0,,9718,,1108,,12336,,1079823,1142
"Idaho",1581,,810,,4357,,793,,7541,,985669,765
"Montana ",1272,,616,,3275,,671,,5834,,800194,729
"Nevada",4881,,2343,,5925,,1716,,14865,,1075027,1383
"New Mexico ",2723,,2188,,5691,,1080,,11682,,1490329,784
"Oregon ",5991,,2819,,24178,,2610,,35598,,2741307,1299
"Utah ",1944,,1261,,5595,,1218,,10018,,1689366,593
"Washington ",5816,,5934,,60244,,10745,,82739,,4639893,1783
"Wyoming",945,,457,,1814,,289,,3505,,465098,754
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,1983,,,,,
,,,,,,,,,,,,"Number per "
"Regions and ","Prison",,"Jail*",,"Probation",,"Parole",,"Total",,"Resident ",100000
"Jurisdictions",,,,,,,,,,,"Population","Residents"
,,,,,,,,,,,,
"U.S. Total",419346,,223551,,1582947,,246440,,2052938,,233791903,878
"Federal ",26331,,0,,50226,,16325,,66551,,,
"State ",393015,,223551,,1532721,,230115,,1986387,,,
,,,,,,,,,,,,
"Northeast",61946,,36634,,265772,,54110,,356516,,49536746,720
"Connecticut",3577,,0,,40041,,1287,,41328,,3162343,1307
"Maine ",861,,560,,3495,,135,,4190,,1144769,366
"Massachusetts",4372,,3304,,22160,,5039,,30503,,5799403,526
"New Hampshire",479,,475,,2323,,471,,3269,,958125,341
"New Jersey ",9192,,5971,,41740,,12287,,59998,,7467789,803
"New York ",30510,,16154,,81570,,23489,,121213,,17686905,685
"Pennsylvania ",11699,,10170,,63684,,10726,,84580,,11837728,714
"Rhode Island",878,,0,,6495,,371,,6866,,956376,718
"Vermont",378,,0,,4264,,305,,4569,,523308,873
,,,,,,,,,,,,
"Midwest",81301,,39538,,290181,,46588,,376307,,58691281,641
"Illinois ",15522,,8849,,58512,,11556,,78917,,11408823,692
"Indiana",8973,,3599,,30401,,2954,,36954,,5450402,678
"Iowa",2814,,839,,11672,,1556,,14067,,2870550,490
"Kansas",3705,,1328,,13607,,2036,,16971,,2415537,703
"Michigan",14510,,7637,,52778,,8939,,69354,,9047753,767
"Minnesota",2113,,1954,,27745,,1498,,31197,,4141438,753
"Missouri",8103,,3783,,24174,,3330,,31287,,4943727,633
"Nebraska",1551,,243,,10935,,364,,11542,,1584301,729
"North Dakota",350,,844,,1367,,170,,2381,,676685,352
"Ohio",18007,,7116,,36225,,10327,,53668,,10737635,500
"South Dakota ",808,,316,,1530,,399,,2245,,692985,324
"Wisconsin",4845,,3030,,21235,,3459,,27724,,4721445,587
,,,,,,,,,,,,
"South",180043,,89479,,670156,,89367,,849002,,79449355,1069
"Alabama",9641,,4464,,15732,,1985,,22181,,3934103,564
"Arkansas",4246,,1602,,6800,,3417,,11819,,2305754,513
"Delaware ",1579,,0,,5419,,718,,6137,,605415,1014
"Dist. of Columbia",3465,,2843,,9602,,2348,,14793,,632439,2339
"Florida",25393,,14668,,95994,,6359,,117021,,10749845,1089
"Georgia ",14935,,10214,,91183,,6677,,108074,,5728254,1887
"Kentucky ",4773,,3711,,14450,,3722,,21883,,3694480,592
"Louisiana",12812,,8507,,24494,,1963,,34964,,4395316,795
"Maryland ",11979,,4608,,61481,,6076,,72165,,4313319,1673
"Mississippi",5481,,2498,,6293,,3207,,11998,,2567730,467
"North Carolina ",14257,,3496,,45863,,5074,,54433,,6077066,896
"Oklahoma",7480,,2215,,16012,,1922,,20149,,3290404,612
"South Carolina ",9076,,2690,,16599,,3338,,22627,,3234074,700
"Tennessee",8201,,6005,,23318,,3563,,32886,,4659755,706
"Texas ",35259,,15224,,217350,,32131,,264705,,15751678,1680
"Virginia ",9855,,5719,,16387,,6268,,28374,,5564658,510
"West Virginia ",1611,,1015,,3179,,599,,4793,,1945065,246
,,,,,,,,,,,,
"West",69725,,57900,,306612,,40050,,404562,,46114521,925
"Alaska ",1072,,37,,1791,,104,,1932,,488417,396
"Arizona",6743,,2940,,15757,,1684,,20381,,2968928,686
"California",38025,,41720,,180474,,25462,,247656,,25360023,977
"Colorado ",3244,,2747,,15580,,1520,,19847,,3133628,633
"Hawaii",1065,,0,,6092,,457,,6549,,1012717,647
"Idaho",1187,,604,,3163,,421,,4188,,981858,427
"Montana ",901,,405,,2471,,691,,3567,,814028,438
"Nevada",3188,,940,,5095,,1082,,7117,,901974,789
"New Mexico ",1708,,1346,,4050,,1079,,6475,,1394352,464
"Oregon ",3952,,2304,,20067,,1558,,23929,,2653058,902
