"Bureau of Justice Statistics",,,,,,,,,,,,
"filename: corpop34.csv",,,,,,,,,,,,
"title: Males under Local, State, or Federal correctional supervision, 1993 & 1988",,,,,,,,,,,,
"data source: BJS, National Prisoner Statistics data series (NPS-1)",,,,,,,,,,,,
"author: Paige Harrison",,,,,,,,,,,,
"refer questions to: askbjs@ojp.usdoj.gov      (202)307-0765",,,,,,,,,,,,
"coordinator:   Laura Maruschak",,,,,,,,,,,,
"date of version: 06/20/00",,,,,,,,,,,,
"1993 data from A16:A81 ",,,,,,,,,,,,
"1988 data from A86:A151",,,,,,,,,,,,
,,,,,,,,,,,,
"The numbers presented in this spreadsheet may have been revised from those previously",,,,,,,,,,,,
"published and, therefore, may vary from numbers available from other sources.",,,,,,,,,,,,
,,,,,,,,,,,,
"Males under Local, State, and Federal correctional supervision",,,,,,,,,,,,
,,,,,,,1993,,,,,
"Regions and ","Prison",,"Jail*",,"Probation",,"Parole",,"Total",,"Resident ","Supervision rate"
"Jurisdictions",,,,,,,,,,,"Population",
,,,,,,,,,,,,
"U.S. Total ",878037,,415161,,1624500,,469039,,3386737,,125787805,2723
"Federal ",68847,,0,,"/",,"/",,68847,,,
"State ",809190,,415161,,1624500,,469039,,3317890,,,
,,,,,,,,,,,,
"Northeast ",132962,,67958,,263265,,149723,,613908,,24683984,2640
"Connecticut",9858,,0,,42657,,578,,53093,,1585551,3349
"Maine ",1397,,658,,7460,,32,,9547,,603285,1583
"Massachusetts",8889,,7522,,"/",,4021,,20432,,2890308,707
"New Hampshire",1689,,990,,3545,,562,,6786,,550022,1234
"New Jersey ",22698,,14035,,"/",,34412,,71145,,3808311,1868
"New York ",61041,,27156,,132945,,47932,,269074,,8714859,3088
"Pennsylvania ",24855,,17597,,71549,,61165,,175166,,5770520,3036
"Rhode Island",1670,,0,,"/",,504,,2174,,479393,453
"Vermont",865,,0,,5109,,517,,6491,,281735,2304
,,,,,,,,,,,,
"Midwest ",163585,,64424,,331423,,66968,,626400,,29749172,2106
"Illinois ",32807,,13482,,62297,,22736,,131322,,5701390,2303
"Indiana",13591,,7653,,"/",,2680,,23924,,2768716,864
"Iowa",4617,,1477,,11559,,179,,17832,,1369729,1302
"Kansas",5452,,2520,,18879,,6595,,33446,,1251310,2673
"Michigan",37520,,11395,,52443,,12872,,114230,,4630865,2467
"Minnesota",4008,,3395,,59168,,1954,,68525,,2221958,3084
"Missouri",15258,,4572,,25940,,12465,,58235,,2528009,2304
"Nebraska",2305,,327,,11237,,721,,14590,,786994,1854
"North Dakota",428,,1545,,1587,,83,,3643,,317501,1147
"Ohio",38057,,10332,,54477,,"/",,102866,,5341546,1926
"South Dakota ",1465,,557,,"/",,623,,2645,,352951,749
"Wisconsin",8077,,7169,,33836,,6060,,55142,,2478203,2225
,,,,,,,,,,,,
"South ",342530,,189230,,860263,,218924,,1610947,,43400438,3712
"Alabama",17084,,6485,,4538,,"/",,28107,,2010696,1398
"Arkansas",7511,,2632,,13426,,3508,,27077,,1168829,2317
"Delaware ",2657,,0,,12768,,849,,16274,,339893,4788
"Dist. of Columbia",8544,,1509,,8118,,6130,,24301,,269283,9024
"Florida",50187,,30500,,146684,,15556,,242927,,6642704,3657
"Georgia ",25386,,20943,,117940,,19012,,183281,,3348773,5473
"Kentucky ",9895,,6198,,"/",,"/",,16093,,1837344,876
"Louisiana",21354,,14800,,26369,,13305,,75828,,2060982,3679
"Maryland ",18278,,8524,,65976,,12853,,105631,,2398989,4403
"Mississippi",9068,,4459,,"/",,"/",,13527,,1262299,1072
"North Carolina ",20286,,7800,,68524,,16027,,112637,,3370128,3342
"Oklahoma",14827,,3589,,18917,,2104,,39437,,1574289,2505
"South Carolina ",16909,,5242,,33198,,5117,,60466,,1756046,3443
"Tennessee",12316,,13048,,25693,,10264,,61321,,2450752,2502
"Texas ",85064,,48806,,299807,,103041,,536718,,8866633,6053
"Virginia ",21438,,13042,,18305,,10193,,62978,,3168775,1987
"West Virginia ",1726,,1653,,"/",,965,,4344,,874023,497
,,,,,,,,,,,,
"West ",170113,,93549,,169549,,33424,,466635,,27954211,1687
"Alaska ",2581,,30,,2771,,665,,6047,,315197,1918
"Arizona",16167,,6471,,746,,3695,,27079,,1971731,1373
"California",108828,,61646,,"/",,1288,,171762,,15583059,1102
"Colorado ",8920,,5787,,27570,,2459,,44736,,1764732,2535
"Hawaii",2187,,0,,7979,,1462,,11628,,588594,1976
"Idaho",2458,,1383,,3809,,780,,8430,,549025,1535
"Montana ",1474,,604,,2793,,644,,5515,,417212,1322
"Nevada",5821,,2593,,6620,,3092,,18126,,702011,2582
"New Mexico ",3205,,2772,,6403,,1168,,13548,,794945,1704
"Oregon ",4908,,3441,,30793,,12305,,51447,,1494689,3442
"Utah ",2749,,1715,,5926,,2036,,12426,,932426,1333
"Washington ",9753,,6663,,71710,,3478,,91604,,2605118,3516
"Wyoming",1062,,444,,2429,,352,,4287,,235472,1821
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,"1988",,,,,
"Regions and ","Prison",,"Jail*",,"Probation",,"Parole",,"Total",,"Resident ","Supervision rate"
"Jurisdictions",,,,,,,,,,,"Population",
,,,,,,,,,,,,
"U.S. Total",573587,,313158,,1714114,,355341,,2956200,,119085496,2482
"Federal ",39917,,0,,46010,,19042,,104969,,,
"State ",533670,,313158,,1668104,,336299,,2851231,,,
,,,,,,,,,,,,
"Northeast",90711,,52965,,229544,,98012,,471232,,24290925,1940
"Connecticut",4505,,0,,39001,,355,,43861,,1583800,2769
"Maine ",1185,,642,,5528,,0,,7355,,585794,1256
"Massachusetts",6195,,5430,,"/",,4132,,15757,,2865645,550
"New Hampshire",995,,749,,2505,,427,,4676,,530189,882
"New Jersey ",16232,,10241,,"/",,17381,,43854,,3720808,1179
"New York ",42800,,23240,,103539,,32306,,201885,,8583600,2352
"Pennsylvania ",17127,,12663,,73841,,42815,,146446,,5674990,2581
"Rhode Island",1138,,0,,"/",,418,,1556,,477244,326
"Vermont",534,,0,,5130,,178,,5842,,268855,2173
,,,,,,,,,,,,
"Midwest",114179,,46927,,339841,,40296,,541243,,28759670,1882
"Illinois ",20182,,9333,,77442,,13614,,120571,,5529697,2180
"Indiana",10773,,4870,,"/",,3203,,18846,,2661662,708
"Iowa",2894,,958,,"/",,"/",,3852,,1340016,287
"Kansas",5540,,1772,,15327,,3184,,25823,,1205538,2142
"Michigan",26279,,8687,,94060,,7106,,136132,,4475503,3042
"Minnesota",2671,,3034,,40147,,1527,,47379,,2104858,2251
"Missouri",11546,,3845,,34745,,6765,,56901,,2445511,2327
"Nebraska",1981,,262,,8901,,403,,11547,,765638,1508
"North Dakota",408,,1044,,1433,,157,,3042,,327036,930
"Ohio",24885,,8355,,46475,,"/",,79715,,5203050,1532
"South Dakota ",974,,478,,"/",,555,,2007,,343449,584
"Wisconsin",6046,,4289,,21311,,3782,,35428,,2357712,1503
,,,,,,,,,,,,
"South",216011,,131750,,765628,,131080,,1244469,,40724262,3056
"Alabama",11647,,4469,,23409,,67,,39592,,1929913,2051
"Arkansas",5224,,1861,,12905,,3494,,23484,,1129014,2080
"Delaware ",2112,,0,,7839,,1028,,10979,,313613,3501
"Dist. of Columbia",6499,,1209,,10038,,3752,,21498,,293709,7319
"Florida",32674,,25460,,125843,,2383,,186360,,5943613,3135
"Georgia ",17145,,16364,,94619,,10403,,138531,,3062901,4523
"Kentucky ",6771,,4304,,"/",,"/",,11075,,1784118,621
"Louisiana",15573,,10397,,25789,,"/",,51759,,2066922,2504
"Maryland ",13109,,6897,,66018,,8749,,94773,,2257884,4197
"Mississippi",6915,,3298,,5636,,2870,,18719,,1236427,1514
"North Carolina ",15555,,5063,,54768,,5728,,81114,,3140921,2582
"Oklahoma",9717,,2318,,18214,,1286,,31535,,1542836,2044
"South Carolina ",12207,,3259,,24980,,3392,,43838,,1652778,2652
"Tennessee",7330,,10244,,23346,,8748,,49668,,2322588,2138
"Texas ",38789,,26753,,254237,,72379,,392158,,8207842,4778
"Virginia ",13355,,8544,,13965,,6075,,41939,,2959101,1417
"West Virginia ",1389,,1310,,4022,,726,,7447,,880082,846
,,,,,,,,,,,,
"West",112769,,81516,,333091,,66911,,594287,,25310639,2106
"Alaska ",1796,,25,,2575,,442,,4838,,285606,1694
"Arizona",10892,,5496,,809,,2155,,19352,,1745648,1109
"California",69379,,56570,,223639,,45453,,395041,,14220261,2778
"Colorado ",5488,,4439,,19456,,1631,,31014,,1618019,1917
"Hawaii",1432,,0,,"/",,955,,2387,,550560,434
"Idaho",1497,,766,,3856,,769,,6888,,490853,1403
"Montana ",1214,,547,,2734,,617,,5112,,396417,1290
"Nevada",4539,,2078,,"/",,"/",,6617,,546700,1210
"New Mexico ",2584,,2015,,4904,,977,,10480,,733529,1429
"Oregon ",5644,,2590,,19799,,2418,,30451,,1346947,2261
"Utah ",1857,,1165,,4659,,1125,,8806,,839478,1049
"Washington ",5567,,5423,,49188,,10101,,70279,,2302977,3052
"Wyoming",880,,402,,1472,,268,,3022,,233644,1293
,,,,,,,,,,,,
,,,,,,,,,,,,
"Note:  Definitions of terms and notes pertaining to individual jurisdictions can be found",,,,,,,,,,,,
"in the most recent edition of ""Correctional Populations in the United States,"" which can be  ",,,,,,,,,,,,
"located at www.ojp.usdoj.gov/bjs/pubalp2.htm#Correctional Populations in the United States.",,,,,,,,,,,,
"*There were no locally operated jails in Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. ",,,,,,,,,,,,
"/: Not reported",,,,,,,,,,,,
