"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"filename:cspsl99.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table #: Section 4 - State-by-State tables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title : Compendium of State Privacy and Security Legislation: 99 Overview",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"contents: Summary of State statutes and regulations by classification category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source: SEARCH, The National Consortium for Justice Information and Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to: askbjs@ojp.usdoj.gov  (202)307-0765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coordinator: Carol G. Kaplan  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version: 7/17/00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Citation",,"Citation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category",,,,,"ALABAMA",,"ALASKA",,"ARIZONA",,"ARKANSAS",,"CALIFORNIA",,"COLORADO",,"CONNECTICUT",,"DELAWARE",,"DISTRICT OF COLUMBIA",,"FLORIDA",,"GEORGIA",,"HAWAII",,"IDAHO",,"ILLINOIS",,"INDIANA",,"IOWA",,"KANSAS",,"KENTUCKY",,"LOUISIANA",,"MAINE",,"MARYLAND",,"MASSACHUSETTS",,"MICHIGAN",,"MINNESOTA",,"MISSISSIPPI",,"MISSOURI",,"MONTANA",,"NEBRASKA",,"NEVADA",,"NEW HAMPSHIRE",,"NEW JERSEY",,"NEW MEXICO",,"NEW YORK",,"NORTH CAROLINA",,"NORTH DAKOTA",,"OHIO",,"OKLAHOMA",,"OREGON",,"PENNSYLVANIA",,"PUERTO RICO",,"RHODE ISLAND",,"SOUTH CAROLINA",,"SOUTH DAKOTA",,"TENNESSEE",,"TEXAS",,"UTAH",,"VERMONT",,"VIRGIN ISLANDS",,"VIRGINIA",,"WASHINGTON",,"WEST VIRGINIA",,"WISCONSIN",,"WYOMING"
1,"State Regulatory Authority",,,,"41-9-591, 594",,"12.62.110(5), .120(a)",,"41-1750, 2405",,"12-12-201, 207, 211, 1003",,"Pen. Code 11077",,"24-33.5-401; 24-72-301",,"54-142j",,"11-8501, 8601, 8605",,,,943.05,,"35-3-31, 32, 33",,"846-2.5",,"19-5203; 67-3003",,"20-3930/4, 7",,"5-2-5-10; 10-1-2.5-1",,"232.45, .148; 690.1; 692.10",,"22-4704",,"17.147, .150(6)",,"15:579",,"25-1541(4)",,"27-746",,"6-168",,"28.155; 28.241 et seq.",,"299C.01, .03",,"45-27-7(1)(a)",,"43.509, 515",,"44-2-201; 44-5-105",,"29-3516",,"179A.080",,"106-B:14",,"53:1-12",,"29-3-1; 32A-15-4",,"Exec. Law 837, Subd. 8; Corr. Law 29(2); Pub. Off. Law 89(1)(b)",,"114-10.1, .5, 12, 19; 132-1.4",,"12-60-07; Admin. Code 10-13-02-01",,109.57,,"47-2-124; 74-150.4, Subd. 4.; 74-150.7, Subd. 2.; 74-150.7d",,"181.066, .511, .521, .540, .555, .560, .575; 181.730(3); Reg. Ch. 257, Div. 10",,"18-9152, 9161",,"4-531",,,,"23-3-130",,"23-5-5, 6; Reg. 2:02:01, 05",,"38-6-101; 38-10-101 through 105",,"Gov^t Code 411.042",,"53-10-201",,"20-2051",,"3-258",,"9-170; 9-188",,"10.97.090",,"15-2-25",,,,"7-19-105; 9-1-623"
2,"Privacy and Security Council",,,,"41-9-594",,"12.62.100",,"41-2405(11)(i)",,"12-12-201, 202, 203 ",,,,,,,,"11-8603",,,,"943.06, .08; Reg. 11C-5",,"35-3-32",,,,,,"20-3930/2, 7",,"5-2-5-11",,,,,,,,"15:578",,,,"27-744",,,,"Regs. § 28.5107",,,,"45-27-7(1)(f)",,"43.515, 518",,,,"29-3505",,"179A.080",,"Reg. 7.C, D",,,,,,"Pub. Off. Law 89, Subd. (2)(a)",,,,,,,,"74-150.4",,"181.540, .715; Regs. § 257-10",,,,"4-531g",,,,,,,,,,,,,,,,,,"9-170",,,,,,,,
3,"Dissemination Regulations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Conviction Information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.1,"Authorizes to Criminal Justice Agencies",,,"41-9-621(6), 639, 642; Reg. 003",,"12.62.160, .160(b)(4)",,"41-1750.G.1, 2204.6",,"9-13-105; 12-12-211, 1008",,"Pen. Code 11076, 11077, 11105, 13300; Labor Code 432.7",,"24-72-305",,"29-16; 54-142k",,"11-8513, 8516; 31-613(c)",,"4-133.1; 1 DCMR 1004.1; 23-1303(a)",,"943.053, .0585, .059; Reg. 11C-6, 7",,"35-3-33, 34; Reg. 140-2-.04(1)(b), .04(2)(b)",,"846-9, 10",,"67-3008",,"20-2630/3, 7",,,,"216A.136; 692.2; Regs. 661-11.12",,"22-4704; Reg. 10-12-1",,"17.150; Reg. 500 KAR 2:020; Reg. 502 KAR 30:060; Reg. 503 KAR 1:140",,"15:548, 584, 587; Reg. LAC 22-1305",,"16-615",,"27-749; Reg. 12.15.01.10, .11",,"6-172; Reg. 803 CMR 3.02",,"28.243, 244; 722.13",,"13.82, Subd. 15; 299C.095, .13",,"45-27-7(1)(d)",,"84.720; 610.120; Reg. CSR 30-4.070",,"44-5-301, 302, 303",,"29-210, 3520; 43-3201",,"179A.075.4(a); 179A.100; 202.366; 239B.010; 599B.115; 648.203",,"Reg. 3.B.2; Gen. 106-B:14, :14-a; 651-B:7",,"52:48-5.1; 53:1-16, 17; NJAC 13:59-1.1",,"29-3-2, 3; 29-10-5; 32A-15-3",,"Pub. Off. Law 87(2)(e); Corr. Law § 168-1(5); CPL 160.30; Exec. Law 837(6); Family Court Act § 306.2; Penal Law § 400.00(4)",,"114-10, 10.1, 19, 19.9; 12 NCAC 9B.0102, .0103; 12 NCAC 10B.0305; Reg. NCAC 4F.0401, .0402, .0403",,"5-02-02; 12-60-16.5; 12.1-32; 53-06.1-06; Admin. Code 99-01.3-02-02",,"109.57(A), .77; 311.01; 2950.03; 3734.42; Admin. Code 4501:2-10-03",,"21-1290.12; 74-150.9",,"181.555(1)",,"18-9121(a); 35-7131.503; 53-2164",,"4-531",,"12-1-4",,"20-7-610, 616, 635; Gen. 23-3-130, 140; Reg. 73-23",,"23-5-5, 6; 23-6-9, 14; Reg. 2:02:02:03, 2:02:03:06",,"38-6-106; 39-17-1351; 40-15-106(c)(1); 40-32-101(c)(1)",,"Gov^t Code 411.089; TRCS Art. 6252-17a",,"53-5-706; 53-10-108(1)",,"20-2053; CVR 28-050-001, Sec. 6.30(a); CVR 80-70-001, Rule 38",,,,"9-187; 18.2-308; 19.2-389, 389.1; 54.1-3925.2; 58.1-4008; 6 VAC 20-120-50",,"10.97.050(1); 10.98.150; 43.43.745, .838",,"15-2-24(c)",,"165.83; 939.615(6)(c)",,"7-19-106(a); 9-1-627"
,3.11,"Authorizes to Govt. Noncriminal Justice Agencies",,,"26-1-4; 41-9-642",,"12.62.160(b)(5)",,"4-202.E; 8-105.D, .Q; 15-512, 534; 20-142E, 323.B; 32-1524.A, 2108.01; 36-883.02; 41-1606.02, 1750.G, 1954, 1964; R 13-1-06.4",,"6-17-410, 414; 9-28-409; 12-12-211, 1009, 1010; 17-19-203; 20-33-203; 20-78-602",,"Pen. Code 11105, 11105.2, .3, .4, 13300; Labor Code 432.7 ",,"24-72-305",,"29-16; 54-142k",,"3-10128(b); 11-8513, 8514, 8516, 8561, 8571; 13-2205(a)(3)(e); 16-1141; 24-904, 1329; 29-4805(a)(16), (17), 4807(a); 31-309(d)(1), (2)",,"1 DCMR 1004.4, .5; 16-5003",,"397.451; 744.3135; 943.053, .0535, .0542, .0585, .059; Reg. 11C-6",,"35-3-35; Reg. 140-2-.04(1)(e), .04(2)(b)",,"261-17; 333F-22; 346-19.6, 154; 352-5.5; 353C-5; 463-5 et seq; 514A-82; 571-34; 846-9, 42, 43",,"67-3008",,"15-310/10b.1; 20-415/8b.1; 20-2605/55a(22), (25), (28), (32), (34); 20-2630/3, 3.1, 7; 40-5/2-156; 40-5/14-149; 40-5/15-187; 40-5/18-163; 65-5/10-2.1-6.2; 105-5/10-21.9; 105-5/34-18.5; 225-10/4; 225-210/2002; 225-446/75, 80; 230-5/15, 15(3",,"4-30-6-3; 4-32-13-4; 5-2-5-4; 5-2-5-5.1; 10-1-1-21; 20-5-2-7; 20-6.1-3-7.1; 25-36.5-1-18; 34-28-2-3",,"232.71.15; 252B.9.7(h); 692.2; 692A.13; 724.10, .17; Regs. 441-107.8(c), 108.8(13), 110.25.8(a), 110.31, 113.13, 157.3(17)(b); 481-57.12(3)(a), 59.13(1)(a), 62.9(a), 63.11(3)(a), 64.34(1), 65.9(a); 571-15.9(3)(f), .10(3)(f); 657-6.2(4)(b);",,"22-4704, 4707(b); Reg. 10-12-1; 17-20-1(c)",,"17.150, .165, .167; Reg. 502 KAR 30:060",,"15:548, 576, 587, 587.1, 587.2, 825.3; 17:15; 26:800; 36:454, 654; 37:760, 918, 1270, 1395.1, 3505; 40:61.1, 1235.2, 1236.2, 1379.3(k); 44:3; 46:51.2, 282, 286.1; Reg. LAC 22-507, 1305",,"5-5301; 16-615; 20-A-6101, 13011; 22-3480, 4021",,"10-102, 103, 104; 11-506.1; 12-204, 207; 19-907; 20-305; 27-255C(e)(4); 27-749; 38A-7A; 83C-132; Reg. 12.15.01.10, .12",,"6-168, 172, 172C, 172E; 128A-9A; 234A-33; Reg. 803 CMR 3.03, 4.01, 4.02, 5.00 et seq.",,"15.231 et seq.; 257.248f; 380.1230, 1230a; 432.221; 500.249a; Regs. 432.1301",,"13.82; 53A.03; 122A.18; 123B.03; 148B.21; 171.3215; 221.84; 241.021; 244.052; 299C.095; Admin. Code 7400.0200; 7406.0360; 7411.0610; 7414.0400; 7570.0020; 7862.0010; 7863.0010; 7864.0010; 9502.0345",,"43-20-8, 57; 45-27-7(1)(d); 75-67-509",,"43.540, .543; 610.120; Reg. CSR 30-4.070",,"44-5-214, 301, 302, 303",,"14-702; 29-3520; 79-8, 112; 83-1217, 1217.02",,"179A.100, .180 through .240; 239B.010; 379.0077; 391.033; 394.465; 414.290; 424.033; 425.393; 432A.175; 449.179; 482.3163; 632.344; 6450.180",,"189:13-a; Reg. 3.B",,"NJAC 5:2A-5, 15; 5:12-76; 8:43I-3.1; 9:3-54.2; 10:121-4.2; 11:1-28.7, :5-3.3; 13:1E-128; 13:39-3.13, :445-9.2; 13:59-1.1; 13:85-3.1; 16:79-1.1; 17:15A-36; 18A:6-4.14, :39-19.1; 19:8-10.1, :9-5.1; 26:2H-83; 27:25-15.1; 30:4-3.5, :4C-26.8; 3",,"6-24-12; 11-13-1; 14-2-1; 28-2-3; 29-6-4.2; 29-10-7; 29-17-5; 32A-15-3; 34-2-9; 60-2E-5, 11; 74-4-4.7, 6-5.1, 9-21",,"Soc. Serv. Law 378-a; Pub. Off. Law 87(2)(e); Reg. 9 NYCRR 6052.1; Veh. & Traffic § 509-d, 1229-d; Tax Law 1605(e); General Bus. Law §§ 69-o, 72, 81, 89-e, 89-i; Alco. & Bev. Con. Law §126; Exec. Law § 837(8-a); Arts & Cul. Aff. Law § 61.1",,"14-415.12; 48-3-309; 85B-3.2; 110-90.2; 114-19.3, .4, .5, .6, .7, .8; 115C-332; 131D-10.3A; Reg. 10 NCAC 34.2701, .2702, .2703, .2704; 10 NCAC 41F.0813; 12 NCAC 2I.0203; 12 NCAC 4F.0405, .0406; 12 NCAC 70.0201, .0203, .0902, .0904; 12 NCAC",,"4-41-02; 12-60-16.6; 12.1-32; 14-15-11; 15-38; 43-30-06; 50-11-02, 02.4, 06.8; 50-11.1-06.2; 50-11.3-01; 50-12-03.2; 53-06.2-05; Admin. Code 93-02-01-06, 93-02-02-13",,"Admin. Code 4501:2-10-03",,"10-404.1, 7004-1.5, 7209; 51-24A.8; 56-1025.2; 74-150.9B",,"181.537, .538, .539, .555(2); 326-607; 657A.030; Reg. 411-009-0015, 0021; 416-540-0060; 416-800-0060",,"3-456.4; 5-3302; 18-9121(b); 24-1-111; 62-432; 63-674; Reg. 4-7.343; 6-15.121; 22-8.2; 37-21.11; 365-11.3-303, 11.8-801, 11.9-901",,"4-531c; 8-69",,"11-37.1-12; 12-1-4; 14-1-34; 15-7-11; 16-48.1-4; 23-19.1-10",,"20-7-1640, 3097; 23-3-130; 40-35-230; Reg. 73-23E.",,"13-49-14.3; 23-3-15.2, 15.3; 23-5-12, 12.1; 23-6-14; Reg. 2:02:03:06",,"8-8-102; 10-7-504(a)(2); 33-1-209; 38-6-106, 109; 45-6-206; 62-26-201-230; 62-35-107; 71-2-403; 71-3-504(4); Regs. 1395-1-1-.09(3)",,"Alco. Bev. Code 109.532; Educ. Code 22.082, .083, .084, 51.215; Finance Code 14.151; Gov^t Code 411.081 through .135, 466.201, 467.036; Health & Safety Code 250.002, 765.003; Hum. Res. Code 32.0322, 40.054, 42.056, .105; Prob. Code 698; Ci",,"26-8a-310; 31A-16-103; 53-10-108; 58-65-302; 62A-4a-202.4; 78-30-3.5; Admin. Code R501-14-1",,"10-6605f; 15A-1-113; 20-2053, 2060; 33-309; CVR 28-050-001, Sec. 4.10(i), 6.30(b)",,"32-428(b)(8)",,"19.2-389; 22.1-296.2; 63.1-198.1, 248.7:2",,"10.97.050(1); 28A.400.303, 304, 305, 306; 43.33A.025; 43.52.525; 46.72.100; 70.74.360; 71.09.115; 74.15.030(2)(b); 82.36.060; 82.38.110; 82.42.040",,"15-2-24(d)",,"19.35(1); 165.82, .825",,"7-19-106(a), 201; 11-25-104; 21-7-401; 33-21-122(c)(viii)"
,3.12,"Authorizes to Private Sector",,,"26-1-4; 41-9-642",,"12.62.160(b)(1), (2), (6), (8), (9), (10)",,"41-1750.G.2",,"9-13-105; 12-12-1009",,"Pen. Code 11105, 11105.02, 11105.2, .3, .4, 13300; Labor Code 432.7",,"24-72-305",,"54-142k",,"3-10128(b); 11-1448A, 8511, 8513, 8514, 8516, 8561",,"1 DCMR 1004.4, .5",,"119.07; 790.065; 943.053, .0542, .0575; Reg. 11C-6",,"35-3-34; 50-18-101; Reg. 140-2-.01, .04(1)(f), .04(2)(b)",,"846-9, 41, 43",,"67-3008",,"20-2605/55a(28); 20-2635/1 et seq.",,"5-2-5-5, 5.1; 12-17.4-4-3, 5-3; 16-27-2-4; 16-28-13-4",,"692.2; 692A.13; Regs. 661-11.12",,"22-4704, 4707(b); Reg. 10-12-1; 16-5-1(e)(2)(8)",,"17.150, .160, .165; Reg. 502 KAR 30:060",,"15:546, 547, 548; 40:1300.52; 44:3",,"16-615",,"10-102, 103; 20-305; 27-749; Reg. 12.15.01.10, .13; Fam. Law 5-560 through 568",,"6-172, 178I; Reg. 803 CMR 3.03, 3.04",,"15.231 et seq.; 256.604; 380.1230, 1230a",,"13.82; 171.3215; 299C.095",,"45-31-5, 7, 12",,"43.540; 660-317; Reg. CSR 30-4.070",,"44-5-214, 301, 302, 303",,"28-1229; 29-3520; 43-107; 69-2410; 71-1903; 83-1217.02",,"179A.100, .180 through .240; 179B.250; 394.465; 432A.175; 449.179",,"159-C:2; Reg. 3.B",,"NJAC 13:59-1.1",,"14-2-1; 29-10-7; 32A-15-3",,"Pub. Off. Law 87(2)(e); Exec. Law 837-n",,,,"12-60-16.6; 12.1-32; 50-11-02.4, 06.8; 50-11.3-01; Admin. Code 99-01.3-02-02",,"109.572; Admin. Code 109:5-1-01; 4501:2-10-03",,"51-24A.2, .8; 74-150.9C",,"181.555(2); Reg. 411-009-0015, 0021; 416-540-0060; 416-800-0060",,"18-9121(b), 9125; 23-6344; 42-1904, 6342; Reg. 6-11.18; 52-30.12, 30.72; 55-3490.125, 2380.20, 6000.22, 6000.31, 6400.21, 6500.23",,,,"12-1-4; 14-1-34; 16-48.1-5",,"13-7-610; Reg. 73-23E.",,"23-5-12, 12.1",,,,"Educ. Code 22.082, .083, .084, 51.215; Gov^t Code 411.081 through .135; Health & Saf. Code 250.002",,"53-10-108",,"CVR 28-050-001, Sec. 4.10(i), 6.30(b)",,,,"19.2-389; 32.1-126.01, .02; 63.1-173.2, 189.1, 194.13, 198.1, 199",,"10.97.050(1); 43.43.815, .830 through .845",,"15-2-24(d)",,"19.35(1); 134.59",,"7-19-106(k)"
,3.13,"Prohibits to Criminal Justice Agencies",,,,,,,"R 13-1-01",,,,"Labor Code 432.7",,,,,,,,,,"943.0585, .059",,"35-3-34(b); Reg. 140-2-.04(1)(b)(3)",,,,,,,,"5-2-5-5",,,,,,,,,,,,,,,,,,,,,,,,,,"79-8, 114",,,,"159-C:3",,,,,,,,,,"Admin. Code 10-13-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
