Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename:  ctjaic02.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table #.  1  2002 Census of Tribal justice Agencies in Indian Country Data File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Census of Tribal justice Agencies in Indian Country, 2002, NCJ 205332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data source:  Census of Tribal justice Agencies in Indian Country (CTJAIC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authors:  Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date of version:  8/17/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


Table #.  1  2002 Census of Tribal justice Agencies in Indian Country Data File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Note:  questionnaire item numbers are listed above the response for identification on the questionnaire.  The questionnaire may be obtained at <http://www.ojp.usdoj.gov/bjs/pub/pdf/ctja02.pdf>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


,,Tribal justice Census participant,Does your tribe have a law enforcement agency employing sworn tribal personnel with general arrest powers?,Does your tribal law enforcement agency operate through a PL 93-638 or self governance contract?,With which of the following does your tribal law enforcement agency have cross deputization agreements?,,,,,Are your tribal law enforcement officers recognized by the state and have state peace officer authority?,Do your tribal law enforcement officers have arrest authority over tribal members off the reservation?,Do your tribal law enforcement officers have arrest authority over non-Indians on the reservation?,Which of the following provide law enforcement services for your tribe?,,,,,,,,,,,,Who performs the Uniform Officers functions in your tribe?,,,,,,,Who performs the Criminal Investigation functions in your tribe?,,,,,,,Who performs the Detention functions in your tribe?,,,,,,,"For juvenile offenses committed on your tribal land, to which justice authorities may cases be referred?",,,,For which types of land are tribal law enforcement services provided?,,,,,,Is the land base contiguous?,"How many CRIMINAL cases during the last
calendar year were referred to the U.S.
Attorney?s office?",Number of criminal cases is an estimate,Who refers criminal cases to the U.S. Attorney?s Office?,,,,,Does your tribe have access to the National Crime Information Center (NCIC)?,To which of the following does your tribe submit its criminal history records?,To which of the following does your tribe submit its criminal history records?,To which of the following does your tribe submit its criminal history records?,Does your tribe submit information to the National Sex Offender Registry (NSOR),Does your tribe record the number and types of crime incidents occurring in your tribal jurisdiction?,What method do you use to record crime incidents in your tribal jurisdiction?,With which of the following does your tribe routinely share crime statistics?,,,,,,,With which of the following does your tribe share crime statistics electronically?,,,,,,,"Does your tribe have a tribal justice system? (As defined in the Indian Tribal Justice Support Act, ?tribal justice system? means the entire judicial branch.",Which type of tribal court system operates in your tribal jurisdiction?,,,,,,,,Which of the following types of cases are handled by your tribal justice system?,,,,,,,,,,,Please indicate the type  of separate courts in your tribal justice system.,,,,,,,Please indicate the type  of separate courts in your tribal justice system.,Please indicate the number of separate courts in your tribal justice system.,,,,,,,Does your tribal justice system use any of the following intermediate sanctions in criminal sentencing for adults?,,,,,,,,,,Does your tribal justice system use any of the following intermediate sanctions in criminal sentencing for Juveniles?,,,,,,,,Does your tribal justice system use any of the following intermediate sanctions in criminal sentencing for Juveniles?,,Does your tribal justice system maintain a probation function for adults?,Does your tribal justice system maintain a probation function for juveniles?,"Which, if any, of the following nonresidential programs does your tribe have available for placing juveniles who commit offenses on your tribal land?",,,,,,,"Which, if any, of the following residential juvenile facilities (treatment, detention, correctional) are available for placing juveniles who commit offenses on your tribal land?",,,,Which types and how many of the following personnel work in your tribal justice system full-time?,,,,,,,,,,,,,Which types and how many of the following personnel work in your tribal justice system part-time?,,,,,,,,,,,,,How are tribal court judges selected?,,,,What is the term of office for a tribal court judge?,,,,,What is the term of office for a tribal court judge?,Are jury trials available in your tribal court system for civil trial cases?,Does your tribe count the number of matters brought before your tribal justice system?,How are criminal cases counted in your court system?,,,,,What method is used to count the number of matters in your tribal court or tribal justice forum(s)?,,,,,How many CRIMINAL cases were filed in your tribal justice system during the last calendar year?,Estimted number of  CRIMINAL cases were filed in your tribal justice system during the last calendar year?,How many of these CRIMINAL cases filed during the last calendar year involved a non-Indian defendant?,Estimated number of CRIMINAL cases filed during the last calendar year involved a non-Indian defendant?,How many CIVIL cases were filed in your tribal justice system during the last calendar year?,Estimated number of CIVIL cases were filed in your tribal justice system during the last calendar year?,How many of these CIVIL cases filed during the last calendar year involved a non-Indian defendant?,Estimated number of CIVIL cases filed during the last calendar year involved a non-Indian defendant?,Does your tribal justice system provide victim services?,"Are any justice agencies in your tribe electronically networked with other justice agencies in your tribe (e.g., law enforcement and prosecution)?","Are any justice agencies in your tribe electronically networked with justice agencies outside your tribe (e.g., tribal law enforcement and county/municipal law enforcement)?",Does your tribe have a BIA Court of Indian Offenses (CFR Court) available?,Does your tribe rely on State courts for judicial services?,Does your tribe rely on county/municipal social service agencies for court ordered treatment in juvenile and/or family cases?,Does your tribe have a child support enforcement program?,For which of the following child support processes does your tribe have family codes?
,,,,,BIA law enforcement,Neighboring tribes/villages,Neighboring non-tribal authorities,Federal law enforcement other than BIA,None,,,,BIA,State,Local,Tribal law enforcement,Village Public Safety Officers (VPSOs),Village Police Officers (VPOs),Traditional law enforcement,Game/fisheries warden,Housing authority,Casino security,Other,Description of Other A7_11=1,BIA,FBI,Tribal ,State,County,Traditional,Other,BIA,FBI,Tribal ,State,County,Traditional,Other,BIA,FBI,Tribal ,State,County,Traditional,Other,Tribal justice authorities,County justice authorities,State justice authorities,Federal justice authorities,Reservation land ,Tribal Communities,Alaska Native Villages,Trust Land,Other ,Description of Other is A10_5=1,,,,Tribal law enforcement,BIA law enforcement,FBI,Other,Description of Other if A13_4=1,,,,,,,,Other Tribes,Alaska Native Corporations,Local government,State government,FBI,BIA,None of the above,Other Tribes,Alaska Native Corporations,Local government,State government,FBI,BIA,None of the above,,Tribal courts,Appellate courts,Circuit rider systems,Traditional methods and/or forums,Inter-tribal court system,Other,Description of Other is B2_6_o1=1,List of tribes if B2_5=1,Criminal misdemeanor cases,Traffic violations,Juvenile offenses,Other juvenile,Family law cases,Domestic violence protective orders,Civil matters,Probate matters,"Wildlife offenses (e.g. hunting, fishing)",Other cases,Description of Other is B3_10=1,General jurisdiction tribal court,Juvenile court,Family court,Wildlife conservation court,Appellate court,Peacemaking/circle sentencing,Other,Description of other is B4_7=1,# General jurisdiction tribal court,# Juvenile court,# Family court,# Wildlife conservation court,# Appellate court,# Peacemaking/circle sentencing,# Other,No intermediary sanctions,Drug rehabilitation,Alcohol rehabilitation,Community service,Counseling/therapy,Fine without incarceration,Restitution without incarceration,Victim-Offender reconciliation,Other,Description of Other is B7_9 = 1,No intermediary sanctions,Drug rehabilitation,Alcohol rehabilitation,Community service,Counseling/therapy,Fine without incarceration,Restitution without incarceration,Victim-offender reconciliation,Other,Description of other is B7_9 = 1,,,No non-residential programs,"County, state or federal social service agencies",Tribal social service agencies,Tribal informal juvenile probation,Tribal formal juvenile probation,Other,Description of other if B10_6=1,Your tribes residential juvenile facilities,Another tribes residential facilities,County or other non-tribal residential juvenile facilities,None of the above,Tribal court judges,Appellate court judges,Court administrators,Court interpreters,Prosecutors,Public defenders,Probation officers,Parole officers,Peacemakers,Bailiffs/Process servers,Staff Attorneys,Support and other staff,Total Full Time Staff,Tribal court judges,Appellate court judges,Court administrators,Court interpreters,Prosecutors,Public defenders,Probation officers,Parole officers,Peacemakers,Bailiffs/Process servers,Staff Attorneys,Support and other staff,Total Full Time Staff,Elected,Appointed and/or hired,Other,Description of Other if B14_3=1,1 year,2 years,3 years,4 years,Other,Description of Other if B15_5 = 1,,,Number of charges,Number of defendants,Number of incidents,Other,Description of Other if B18_4 = 1,Matters are counted manually,Matters are counted in computer databases,A combination of (1) and (2),Other,Description of other if B19_4=1, , ,,,,,,,,,,,,,,Establishing paternity,Establishing a child support order,Enforcing a child support order,Modifying or adjusting a child support order,None of the above,
State name,Tribe Name,participation,a1,a2,A3_1,A3_2,A3_3,A3_4,A3_5,a4,a5,a6,a7_1,a7_2,a7_3,a7_4,a7_5,a7_6,a7_7,a7_8,a7_9,a7_10,a7_11,A7_11_oth,a8a_1,a8a_2,a8a_3,a8a_4,a8a_5,a8a_6,a8a_7,a8b_1,a8b_2,a8b_3,a8b_4,a8b_5,a8b_6,a8b_7,a8c_1,a8c_2,a8c_3,a8c_4,a8c_5,a8c_6,a8c_7,a9_1,a9_2,a9_3,a9_4,a10_1,a10_2,a10_3,a10_4,a10_5,a10__other,a11,a12,a12a,a13_1,a13_2,a13_3,a13_4,a13_4_other,a14,a15_1,a15_2,a15_3,a16,a17,a18,a19_1,a19_2,a19_3,a19_4,a19_5,a19_6,a19_7,a20_1,a20_2,a20_3,a20_4,a20_5,a20_6,a20_7,b1,b2_1,b2_2,b2_3,b2_4,b2_5,b2_6,B2_6_o1,B2_6_o2,b3_1,b3_2,b3_3,b3_4,b3_5,b3_6,b3_7,b3_8,b3_9,b3_10,b3_10_other,b4_1,b4_2,b4_3,b4_4,b4_5,b4_6,b4_7,b4_7_other,b5_1,b5_2,b5_3,b5_4,b5_5,b5_6,b5_7,b6_1,b6_2,b6_3,b6_4,b6_5,b6_6,b6_7,b6_8,b6_9,b6_9_other,b7_1,b7_2,b7_3,b7_4,b7_5,b7_6,b7_7,b7_8,b7_9,b7_9_other,b8,b9,b10_1,b10_2,b10_3,b10_4,b10_5,b10_6,b10_6_other,b11_1,b11_2,b11_3,b11_4,b12_1,b12_2,b12_3,b12_4,b12_5,b12_6,b12_7,b12_8,b12_9,b12_10,b12_11,b12_12,b12_13,b13_1,b13_2,b13_3,b13_4,b13_5,b13_6,b13_7,b13_8,b13_9,b13_10,b13_11,b13_12,b13_13,B14_1,B14_2,B14_3,B14_3_other,b15_1,b15_2,b15_3,b15_4,b15_5,b15_5_other,b16,b17,b18_1,b18_2,b18_3,b18_4,b18_4_other,b19_1,b19_2,b19_3,b19_4,b19_4_other,b20,b20a,b21,b21a,b22,b22a,b23,b23a,b24,b25,b26,c1,c2,c3,c4,c5_1,c5_2,c5_3,c5_4,c5_5,. . .
Alabama,Poarch Band of Creek Indians of Alabama,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,. . .,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,. . .,No,2,No,Yes,No,Yes,No,. . .,Yes,Yes,No,No,No,Yes,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Drug Court,. . .,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,. . .,Yes,Yes,No,No,Yes,No,Yes,. . .,Yes,Yes,0,0,Yes,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,. . .,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,. . .,Yes,Yes,No,No,Yes,Yes,Yes,No,. . .,No,No,Yes,No,0,0,1,0,0,0,1,0,0,0,0,1,3,1,1,0,0,1,0,0,0,0,0,0,0,3,No,Yes,No,. . .,No,No,No,Yes,No,. . .,Yes,Yes,Yes,No,No,No,. . .,Yes,No,No,No,. . .,27,2,0,2,41,2,3,2,No,No,No,No,No,No,No,No,Yes,No,No,No,. . .
Arizona,Ak-Chin Indian Community,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,. . .,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,. . .,Yes,. . .,. . .,Yes,Yes,Yes,No,. . .,Yes,No,No,Yes,No,Yes,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,. . .,. . .,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,. . .,Yes,No,No,No,No,No,No,. . .,Yes,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,. . .,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,. . .,Yes,Yes,No,No,Yes,Yes,Yes,No,. . .,No,Yes,No,No,2,0,1,0,1,1,2,0,0,1,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,No,. . .,No,No,Yes,No,No,. . .,Yes,Yes,Yes,Yes,No,No,. . .,No,No,Yes,No,. . .,197,1,15,1,216,1,15,1,Yes,No,No,. . .,No,No,Yes,Yes,Yes,Yes,Yes,No,. . .
Arizona,Cocopah Tribe of Arizona,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,. . .,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,. . .,No,4,Yes,No,No,Yes,No,. . .,No,No,No,Yes,No,Yes,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Arizona,Colorado River Indian Tribes of the Colorado River Indian Reservation,No,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Arizona,Fort McDowell Yavapai Tribal Council,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,. . .,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,. . .,Yes,5,No,Yes,Yes,Yes,No,. . .,Yes,No,No,Yes,No,Yes,2,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,. . .,. . .,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,. . .,Yes,Yes,No,No,Yes,No,No,. . .,Yes,Yes,0,0,Yes,0,0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,. . .,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,. . .,Yes,Yes,No,No,Yes,No,Yes,Yes,Wellness Court,No,No,Yes,No,3,0,1,0,3,2,2,0,0,1,0,2,14,0,3,0,0,0,0,0,0,0,0,0,0,3,No,Yes,No,. . .,No,Yes,No,No,No,. . .,Yes,Yes,No,Yes,No,No,. . .,No,No,Yes,No,. . .,131,1,0,2,63,1,. . .,9,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,. . .
Arizona,Gila River Indian Community of the Gila River Indian Reservation (Arizona),Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,. . .,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,. . .,Yes,10,Yes,Yes,No,No,No,. . .,Yes,No,No,Yes,No,Yes,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,. . .,. . .,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,. . .,Yes,Yes,No,No,Yes,No,No,. . .,No,Yes,0,0,Yes,0,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,. . .,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,. . .,Yes,Yes,No,No,Yes,No,Yes,No,. . .,Yes,No,No,No,5,0,3,0,0,0,8,0,0,5,0,22,43,2,0,0,0,0,0,0,0,0,0,0,0,2,Yes,Yes,No,. . .,No,No,Yes,No,No,. . .,Yes,Yes,No,No,Yes,No,. . .,No,No,Yes,No,. . .,1450,2,0,2,534,2,. . .,9,No,No,No,No,No,No,No,Yes,Yes,No,No,No,. . .
Arizona,Havasupai Tribe,No,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
