"Bureau of Justice Statistics",,,,,,,,,,,,,
"filename:  cv97110.csv",,,,,,,,,,,,,
"Table 110: Number and percent distribution of series victimizations",,,,,,,,,,,,,
"and of victimizations not in series, by type of crime",,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 1997   NCJ 174446",,,,,,,,,,,,,
"produced by:  Cathy Maston ",,,,,,,,,,,,,
"authors:  Patsy Klaus and Cathy Maston",,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov     202-307-0765",,,,,,,,,,,,,
"date of version: 07/15/00",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 110. Personal and property crimes, 1997:",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Number and percent distribution of series victimizations",,,,,,,,,,,,,
"and of victimizations not in series, by type of crime",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"            Total victimizations",,,,"           Series victimizations",,,,"       Victimizations not in series",,,
"Type of crime",,"     Number",,"Percent",,"     Number",,"Percent",,"     Number",,"Percent",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Personal crimes",,9553770,,100.0,"%",583170,,6.1,"%",8970600,,93.9,"%"
,,,,,,,,,,,,,
"Crimes of violence",,9195020,,100.0,,580950,,6.3,,8614070,,93.7,
"   Completed violence",,2833180,,100.0,,154100,,5.4,,2679080,,94.6,
"   Attempted/threatened violence",,6361840,,100.0,,426850,,6.7,,5934990,,93.3,
"   Rape/Sexual assault",,345100,,100.0,,33990,,9.8,,311110,,90.2,
"      Rape/Attempted rape",,214260,,100.0,,20470,"*",9.6,"*",193790,,90.4,
"         Rape",,133490,,100.0,,18370,"*",13.8,"*",115120,,86.2,
"         Attempted rape/a",,80770,,100.0,,2100,"*",2.6,"*",78670,,97.4,
"      Sexual assault/b",,130830,,100.0,,13520,"*",10.3,"*",117310,,89.7,
"   Robbery",,973150,,100.0,,29210,,3.0,,943940,,97.0,
"      Completed/property taken",,617560,,100.0,,10910,"*",1.8,"*",606660,,98.2,
"         With injury",,251630,,100.0,,8410,"*",3.3,"*",243220,,96.7,
"         Without injury",,365930,,100.0,,2500,"*",0.7,"*",363440,,99.3,
"      Attempted to take property",,355590,,100.0,,18300,"*",5.1,"*",337280,,94.9,
"         With injury",,79410,,100.0,,6730,"*",8.5,"*",72680,,91.5,
"         Without injury",,276180,,100.0,,11570,"*",4.2,"*",264610,,95.8,
"   Assault",,7876780,,100.0,,517750,,6.6,,7359030,,93.4,
"      Aggravated",,2003640,,100.0,,120530,,6.0,,1883110,,94.0,
"         With injury",,631640,,100.0,,36740,,5.8,,594900,,94.2,
"         Threatened with weapon",,1372000,,100.0,,83780,,6.1,,1288210,,93.9,
"      Simple",,5873140,,100.0,,397220,,6.8,,5475920,,93.2,
"         With minor injury",,1337000,,100.0,,79470,,5.9,,1257530,,94.1,
"         Without injury",,4536140,,100.0,,317760,,7.0,,4218390,,93.0,
"Purse snatching/Pocket picking",,358750,,100.0,,2220,"*",0.6,"*",356530,,99.4,
"   Completed purse snatching",,54980,,100.0,,"0 ","*",0.0,"*",54980,,100.0,
"   Attempted purse snatching",,15820,"*",100.0,"*","0 ","*",0.0,"*",15820,"*",100.0,"*"
"   Completed pocket picking ",,287950,,100.0,,2220,"*",0.8,"*",285730,,99.2,
,,,,,,,,,,,,,
"Property crimes",,26071880,,100.0,"%",254750,,1.0,"%",25817130,,99.0,"%"
,,,,,,,,,,,,,
"Household burglary",,4689720,,100.0,,54800,,1.2,,4634920,,98.8,
"   Completed",,3943840,,100.0,,50870,,1.3,,3892970,,98.7,
"      Forcible entry",,1509650,,100.0,,12280,"*",0.8,"*",1497370,,99.2,
"      Unlawful entry without force",,2434190,,100.0,,38590,,1.6,,2395600,,98.4,
"   Attempted forcible entry",,745880,,100.0,,3930,"*",0.5,"*",741960,,99.5,
"Motor vehicle theft",,1437580,,100.0,,4210,"*",0.3,"*",1433370,,99.7,
"   Completed",,1011170,,100.0,,4210,"*",0.4,"*",1006960,,99.6,
"   Attempted",,426410,,100.0,,"0 ","*",0.0,"*",426410,,100.0,
"Theft",,19944580,,100.0,,195740,,1.0,,19748840,,99.0,
"   Completed",,19150560,,100.0,,190550,,1.0,,18960020,,99.0,
"      Less than $50",,7302730,,100.0,,84710,,1.2,,7218020,,98.8,
"      $50 - $249",,6723800,,100.0,,43730,,0.7,,6680070,,99.3,
"      $250 or more",,3990520,,100.0,,35510,,0.9,,3955010,,99.1,
"      Amount not available",,1133500,,100.0,,26590,"*",2.3,"*",1106910,,97.7,
"   Attempted",,794010,,100.0,,5190,"*",0.7,"*",788820,,99.3,
,,,,,,,,,,,,,
"Note: Detail may not add to total shown because of rounding.",,,,,,,,,,,,,
"* Estimate is based on about 10 or fewer sample cases.",,,,,,,,,,,,,
"a/Includes verbal threats of rape.",,,,,,,,,,,,,
"b/Includes threats.",,,,,,,,,,,,,
