"Bureau of Justice Statistics",,,,,,,,,,,,,
"filename:  cv99110.csv",,,,,,,,,,,,,
"Table 110: Number and percent distribution of series victimizations",,,,,,,,,,,,,
"and of victimizations not in series, by type of crime",,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 1999   NCJ 184938",,,,,,,,,,,,,
"produced by:  Cathy Maston ",,,,,,,,,,,,,
"authors:  Patsy Klaus and Cathy Maston",,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov     202-307-0765",,,,,,,,,,,,,
"date of version: 11/13/00",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 110.  Personal and property crimes, 1999:",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Number and percent distribution of series victimizations",,,,,,,,,,,,,
"and of victimizations not in series, by type of crime",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"           Total victimizations",,,,"          Series victimizations",,,,"     Victimizations not in series",,,
"Type of crime",,"     Number",,"Percent",,"     Number",,"Percent",,"     Number",,"Percent",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Personal crimes",,7951090,,100.0,"%",386410,,4.9,"%",7564680,,95.1,"%"
,,,,,,,,,,,,,
"Crimes of violence",,7738760,,100.0,,381700,,4.9,,7357050,,95.1,
"   Completed violence",,2362970,,100.0,,84700,,3.6,,2278260,,96.4,
"   Attempted/threatened violence",,5375790,,100.0,,297000,,5.5,,5078790,,94.5,
"   Rape/Sexual assault",,407950,,100.0,,24780,"*",6.1,"*",383170,,93.9,
"      Rape/Attempted rape",,219870,,100.0,,19000,"*",8.6,"*",200880,,91.4,
"         Rape",,152890,,100.0,,11820,"*",7.7,"*",141070,,92.3,
"         Attempted rape",,66980,,100.0,,7170,"*",10.7,"*",59810,,89.3,
"      Sexual assault",,188080,,100.0,,5780,"*",3.1,"*",182290,,96.9,
"   Robbery",,836440,,100.0,,26230,"*",3.1,"*",810210,,96.9,
"      Completed/property taken",,556480,,100.0,,26230,"*",4.7,"*",530250,,95.3,
"         With injury",,204750,,100.0,,15670,"*",7.7,"*",189080,,92.3,
"         Without injury",,351730,,100.0,,10560,"*",3.0,"*",341170,,97.0,
"      Attempted to take property",,279970,,100.0,,"0.0 ","*","0.0 ","*",279970,,100.0,
"         With injury",,78080,,100.0,,"0.0 ","*","0.0 ","*",78080,,100.0,
"         Without injury",,201890,,100.0,,"0.0 ","*","0.0 ","*",201890,,100.0,
"   Assault",,6494360,,100.0,,330690,,5.1,,6163670,,94.9,
"      Aggravated",,1555870,,100.0,,52590,,3.4,,1503280,,96.6,
"         With injury",,466310,,100.0,,17150,"*",3.7,"*",449160,,96.3,
"         Threatened with weapon",,1089560,,100.0,,35450,,3.3,,1054110,,96.7,
"      Simple",,4938500,,100.0,,278100,,5.6,,4660390,,94.4,
"         With minor injury",,1022030,,100.0,,23720,"*",2.3,"*",998310,,97.7,
"         Without injury",,3916470,,100.0,,254380,,6.5,,3662080,,93.5,
"Purse snatching/Pocket picking",,212330,,100.0,,4700,"*",2.2,"*",207630,,97.8,
"   Completed purse snatching",,36480,,100.0,,2540,"*",7.0,"*",33930,,93.0,
"   Attempted purse snatching",,6910,"*",100.0,"*","0.0 ","*","0.0 ","*",6910,"*",100.0,"*"
"   Completed pocket picking ",,168940,,100.0,,2160,"*",1.3,"*",166780,,98.7,
,,,,,,,,,,,,,
"Property crimes",,21391810,,100.0,"%",176700,,0.8,"%",21215100,,99.2,"%"
,,,,,,,,,,,,,
"Household burglary",,3711970,,100.0,,60390,,1.6,,3651580,,98.4,
"   Completed",,3109640,,100.0,,45250,,1.5,,3064390,,98.5,
"      Forcible entry",,1183230,,100.0,,8450,"*",0.7,"*",1174770,,99.3,
"      Unlawful entry without force",,1926410,,100.0,,36800,,1.9,,1889610,,98.1,
"   Attempted forcible entry",,602340,,100.0,,15140,"*",2.5,"*",587190,,97.5,
"Motor vehicle theft",,1068130,,100.0,,"0.0 ","*","0.0 ","*",1068130,,100.0,
"   Completed",,807730,,100.0,,"0.0 ","*","0.0 ","*",807730,,100.0,
"   Attempted",,260400,,100.0,,"0.0 ","*","0.0 ","*",260400,,100.0,
"Theft",,16611710,,100.0,,116310,,0.7,,16495400,,99.3,
"   Completed",,16077510,,100.0,,113750,,0.7,,15963760,,99.3,
"      Less than $50",,5756510,,100.0,,56240,,1.0,,5700280,,99.0,
"      $50 - $249",,5810830,,100.0,,21620,"*",0.4,"*",5789210,,99.6,
"      $250 or more",,3406480,,100.0,,12330,"*",0.4,"*",3394140,,99.6,
"      Amount not available",,1103690,,100.0,,23550,"*",2.1,"*",1080140,,97.9,
"   Attempted",,534200,,100.0,,2570,"*",0.5,"*",531640,,99.5,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Note: Detail may not add to total shown because of rounding.",,,,,,,,,,,,,
"* Estimate is based on about 10 or fewer sample cases.",,,,,,,,,,,,,
"a/Includes verbal threats of rape.",,,,,,,,,,,,,
"b/Includes threats.",,,,,,,,,,,,,
