"Bureau of Justice Statistics",,,,,
"filename:  eetrnd06.csv",,,,,
"table 6.  Total direct expenditure, by activity and level of government, fiscal years 1980-99",,,,,
"NCJ 178273",,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,
"author: Sidra Lea Gifford",,,,,
"refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765",,,,,
"date of version: 12/05/01",,,,,
,,,,,
"Table 6.  Total direct expenditure, by activity and level of government, fiscal years 1980-99",,,,,
,,,,,
,,,"       Direct justice expenditure in thousands",,
"Level of",,,,,
"government",,,"        Police","        Judicial",
"and year",,"        Total","        protection","        and legal","Corrections"
,,,,,
"All governments",,,,,
"  1980",,"...",$15163029,"...",$6900751
"  1981",,"...",16822094,"...",7868822
"  1982",,$35841916,19022184,$7770785,9048947
"  1983",,39680167,20648200,8620604,10411363
"  1984",,43942690,22685766,9463180,11793744
"  1985",,48563068,24399355,10628816,13534897
"  1986",,53499805,26254993,11485446,15759366
"  1987",,58871348,28767553,12555026,17548769
"  1988",,65230542,30960824,13970563,20299155
"  1989",,70949468,32794182,15588664,22566622
"  1990",,79433959,35923479,17356826,26153654
"  1991",,87566819,38971240,19298379,29297200
"  1992",,93776852,41326531,20988888,31461433
"  1993",,97541826,44036756,21558403,31946667
"  1994",,103470564,46004536,22601706,34864322
"  1995",,112868448,48644529,24471689,39752230
"  1996",,120194175,53007425,26157907,41028843
"  1997",,129793452,57753530,28528774,43511148
"  1998*",,135899453,60828213,29901380,45169860
"  1999",,146555501,65364070,32184560,49006871
,,,,,
"Federal",,,,,
"  1980",,"...",$1739000,"...",$387000
"  1981",,"...",1904000,"...",413000
"  1982",,$4269000,2366000,$1390000,513000
"  1983",,4844000,2745000,1523000,576000
"  1984",,5787000,3355000,1785000,647000
"  1985",,6279000,3430000,2129000,720000
"  1986",,6430000,3542000,2090000,798000
"  1987",,7231000,4036000,2271000,924000
"  1988",,8464000,4657000,2639000,1168000
"  1989",,9204000,4952000,2949000,1303000
"  1990",,10219000,5344000,3281000,1594000
"  1991",,12106000,6170000,3995000,1941000
"  1992",,13529000,6703000,4415000,2411000
"  1993",,14429000,7345000,4662000,2422000
"  1994",,14626000,7318000,4721000,2587000
"  1995",,16741000,7548000,5309000,3884000
"  1996",,17480000,8281000,5693000,3506000
"  1997",,20524000,10110000,6883000,3531000
"  1998*",,19365000,10353000,6328000,2684000
"  1999",,22148000,11964000,6885000,3299000
,,,,,
"Total State",,,,,
"and local",,,,,
"  1980",,"...",$13424029,"...",$6513751
"  1981",,"...",14918094,"...",7455822
"  1982",,$31572916,16656184,$6380785,8535947
"  1983",,34836167,17903200,7097604,9835363
"  1984",,38155690,19330766,7678180,11146744
"  1985",,42284068,20969355,8499816,12814897
"  1986",,47069805,22712993,9395446,14961366
"  1987",,51640348,24731553,10284026,16624769
"  1988",,56766542,26303824,11331563,19131155
"  1989",,61745468,27842182,12639664,21263622
"  1990",,69214959,30579479,14075826,24559654
"  1991",,75460819,32801240,15303379,27356200
"  1992",,80247852,34623531,16573888,29050433
"  1993",,83112826,36691756,16896403,29524667
"  1994",,88844564,38686536,17880706,32277322
"  1995",,96127448,41096529,19162689,35868230
"  1996",,102714175,44726425,20464907,37522843
"  1997",,109269452,47643530,21645774,39980148
"  1998",,116534453,50475213,23573380,42485860
"  1999",,124407501,53400070,25299560,45707871
,,,,,
"State",,,,,
"  1980",,$8322735,$2027161,$1924580,$4257509
"  1981",,9375116,2240903,2189344,4843857
"  1982",,10651136,2485767,2605577,5559792
"  1983",,11709073,2630282,2755551,6323240
"  1984",,13080590,2817436,3085143,7178011
"  1985",,14903400,3125859,3441501,8336040
"  1986",,16978049,3363792,3736680,9877577
"  1987",,18465051,3646766,4085405,10732880
"  1988",,20879907,3937077,4539182,12403648
"  1989",,23009426,4172714,4982213,13854499
"  1990",,25764047,4484044,5437940,15842063
"  1991",,28492872,4786191,5917141,17789540
"  1992",,30270582,4967069,6552687,18750826
"  1993",,30695903,4960517,6644044,19091342
"  1994",,33495311,5324906,6904352,21266053
"  1995",,37359746,5734937,7533740,24091069
"  1996",,39903049,6499224,8109714,25294111
"  1997",,42353331,6669520,8566938,27116873
"  1998",,45995144,7165258,10150957,28678929
"  1999",,49964923,7809838,11385299,30769786
,,,,,
"Local, total",,,,,
"  1980",,"...",$11396868,"...",$2256242
"  1981",,"...",12677191,"...",2611965.0
"  1982",,$20921780,14170417,$3775208,2976155
"  1983",,23127094,15272918,4342053,3512123
"  1984",,25075100,16513330,4593037,3968733
"  1985",,27380668,17843496,5058315,4478857
"  1986",,30091756,19349201,5658766,5083789
"  1987",,33175297,21084787,6198621,5891889
"  1988",,35886635,22366747,6792381,6727507
"  1989",,38736042,23669468,7657451,7409123
"  1990",,43450912,26095435,8637886,8717591
"  1991",,46967947,28015049,9386238,9566660
"  1992",,49977270,29656462,10021201,10299607
"  1993",,52416923,31731239,10252359,10433325
"  1994",,55349253,33361630,10976354,11011269
"  1995",,58767702,35361592,11628949,11777161
"  1996",,62811126,38227201,12355193,12228732
"  1997",,66916121,40974010,13078836,12863275
"  1998",,70539309,43309955,13422423,13806931
"  1999",,74442578,45590232,13914261,14938085
,,,,,
"Counties",,,,,
"  1980",,"...",$2664860,"...",$1739570
"  1981",,"...",3084570,"...",2022857
"  1982",,$8556210,3478397,$2794834,2282979
"  1983",,9705192,3746564,3215178,2743450
"  1984",,10518057,4042335,3375140,3100582
"  1985",,11516520,4391301,3709936,3415283
"  1986",,12934563,4792700,4184383,3957480
"  1987",,14429317,5243897,4592302,4593118
"  1988",,15778380,5564298,5025849,5188233
"  1989",,17398658,6087211,5677845,5633602
"  1990",,19509593,6648724,6388935,6471934
"  1991",,21761187,7356312,7050145,7354730
"  1992",,23672269,7974550,7496664,8201055
"  1993",,24468893,8480454,7679401,8309038
"  1994",,25856108,8886573,8235484,8734051
"  1995",,27732643,9440406,8767777,9524460
"  1996",,29610765,10425771,9358446,9826548
"  1997",,31576448,11328607,9928998,10318843
"  1998",,33571243,12148768,10202366,11220109
"  1999",,35118293,12457018,10540476,12120799
,,,,,
"Municipalities",,,,,
"  1980",,"...",$8732008,"...",$516672
"  1981",,"...",9592621,"...",589108
"  1982",,$12365570,10692020,$980374,693176
"  1983",,13421902,11526354,1126875,768673
"  1984",,14557043,12470995,1217897,868151
"  1985",,15864148,13452195,1348379,1063574
"  1986",,17157193,14556501,1474383,1126309
"  1987",,18745980,15840890,1606319,1298771
"  1988",,20108255,16802449,1766532,1539274
"  1989",,21337384,17582257,1979606,1775521
"  1990",,23941319,19446711,2248951,2245657
"  1991",,25206760,20658737,2336093,2211930
"  1992",,26305001,21681912,2524537,2098552
"  1993",,27948030,23250785,2572958,2124287
"  1994",,29493145,24475057,2740870,2277218
"  1995",,31035059,25921186,2861172,2252701
"  1996",,33200361,27801430,2996747,2402184
"  1997",,35339673,29645403,3149838,2544432
"  1998",,36968066,31161187,3220057,2586822
"  1999",,39324285,33133214,3373785,2817286
,,,,,
"Source:  Justice Expenditure and Employment Extracts, Tables 1 and 3",,,,,
"Note: Detail may not add to total because of rounding. ",,,,,
"...Not available.",,,,,
"* Federal government figures presented for 1998 are directly from the",,,,,
"Budget of the United States, using the definitions of justice functions",,,,,
"contained in the Budget.  Prior to 1998 the Census Bureau performed",,,,,
"an extensive compilation of the Federal budget for the purposes of",,,,,
"making the data fit the definitions used in the Census Bureau's surveys ",,,,,
"of government finances and public employment.  Therefore ""all governments""",,,,,
"and ""Federal government"" expenditure data prior to 1998 are not directly ",,,,,
"comparable to those reported for 1998 and subsequent years.",,,,,
