Bureau of Justice Statistics,,,,,,
Filename: jic07f01.csv,,,,,,
"Figure 1: Inmates confined in Indian country jails, 2000-2007",,,,,,
"Report title: Jails in Indian Country, 2007 NCJ 223760",,,,,,
Data source: Survey of Jails in Indian Country (SJIC),,,,,,
Author: Todd D. Minton,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,
Date of version: 11/05/2008,,,,,,
,,,,,,
"Figure 1. Inmates confined in Indian country jails, 2000-2004 and 2007",,,,,,
,2000,2001,2002,2003,2004,2007
Number of inmates,"1,775","1,912","2,006","1,826","1,745","2,163"
12 months ending June 30,,,,,,
Note: The Survey of Jails in Indian Country was not conducted in 2005 and 2006.,,,,,,
