,,,,,,,,,,,,,,,,
"LEMA938.csv//Report: Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,,,,,
"Sources:  Law Enforcement Management and Administrative Statistics, 1993//BJS Contact: Brian Reaves, Ph.D., (202) 616-3287//reaves@justice. usdoj.gov",,,,,,,,,,,,,,,,
"Table 8a.  Starting salaries, collective bargaining, types of special pay, and officer membership organizations",,,,,,,,,,,,,,,,
"in local law enforcement agencies, 1993",,,,,,,,,,,,,,,,
,,,,,,"Agencies authorizing",,,,"Types of ",,"          Agencies authorizing ",,,,
,,"Base annual starting salary",,,,"collective bargaining for:",,,,"special pay",,"          officer membership in:",,,,
,,"     Chief or",,"  Entry-level",," Sworn",," Civilian",,"authorized",,"  Nonpolice",,"Police",," Police"
"County","Name of agency","     Sheriff",,"  officer",," employees",," employees",,"for officers",,"  union",,"union",," association"
,,,,,,,,,,,,,,,,
"ALABAMA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Etowah","Gadsden Police",$41000,,$21320,,"X",,"X",,"H,S,E,M",,"X",,"X",,"-"
"Houston","Dothan Police",$53014,,$18590,,"-",,"-",,"-",,"-",,"-",,"X"
"Jefferson","Jefferson County Sheriff",$67500,,$19988,,"-",,"-",,"H,E",,"-",,"X",,"-"
"Jefferson","Birmingham Police",$53352,,$21153,,"-",,"-",,"H,E",,"-",,"X",,"-"
"Madison","Huntsville Police",$53934,,$22464,,"-",,"-",,"-",,"-",,"X",,"-"
"Mobile","Mobile County Sheriff",$66355,,$18912,,"-",,"-",,"H,S,E,M",,"-",,"-",,"-"
"Mobile","Mobile Police",$74136,,$19860,,"-",,"-",,"H,E,M",,"-",,"X",,"X"
"Montgomery","Montgomery County Sheriff",$55001,,$20253,,"-",,"-",,"H,M",,"-",,"X",,"-"
"Montgomery","Montgomery Police",$51055,,$19596,,"-",,"-",,"H,S,M",,"-",,"-",,"X"
"Tuscaloosa","Tuscaloosa Police",$40410,,$19180,,"-",,"-",,"S",,"-",,"X",,"X"
,,,,,,,,,,,,,,,,
"ALASKA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
