Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p07at11.csv,,,,,,,,,,,,,
"Appendix table 11. Estimated percent of sentenced prisoners under state jurisdiction, by offense, gender, race, and Hispanic origin, yearend 2005",,,,,,,,,,,,,
Report title: Prisoners in 2007 NCJ 224280,,,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,
"Date of version: November 14, 2008",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Appendix table 11. Estimated percent of sentenced prisoners under state jurisdiction, by offense, gender, race, and Hispanic origin, yearend 2005",,,,,,,,,,,,,
,,All inmates,,Male,,Female,,White/a,,Black/a,,Hispanic,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent offenses,,53,%,54.3,%,35.4,%,50.1,%,54.6,%,54.7,%
,Murder/b,12.9,,13,,11.2,,10.5,,14.3,,13.4,
,Manslaughter,1.3,,1.2,,1.9,,1.5,,1.3,,1,
,Rape,4.7,,5,,0.6,,6.4,,4.1,,2.8,
,Other sexual assault,8,,8.5,,1.7,,12.3,,4.2,,9,
,Robbery,13.7,,14.1,,8.6,,8.2,,18.9,,12.8,
,Assault,10,,10,,8.8,,8.6,,9.5,,13.3,
,Other violent,2.5,,2.5,,2.7,,2.6,,2.3,,2.5,
Property offenses,,19.2,%,18.5,%,28.6,%,24.4,%,16.1,%,16.2,%
,Burglary,9.6,,9.8,,6.3,,11.6,,8.5,,8.6,
,Larceny,3.5,,3.2,,8,,4.3,,3.2,,2.4,
,Motor vehicle theft,1.7,,1.7,,1.5,,1.9,,1.1,,2.8,
,Fraud,2.5,,1.9,,10.4,,3.8,,1.9,,1,
,Other property,1.9,,1.9,,2.3,,2.7,,1.4,,1.5,
Drug offenses,,19.5,%,18.9,%,28.7,%,15.4,%,22.5,%,21.3,%
Public-order offenses/c,,7.6,%,7.7,%,6.1,%,9.4,%,6.3,%,7.3,%
Other/unspecified/d,,0.6,%,0.6,%,1.2,%,0.8,%,0.5,%,0.5,%
Note: Data are for inmates with a sentence of more than 1 year under the jurisdiction of state correctional authorities. Detail may not add to total due to rounding.,,,,,,,,,,,,,
a/Excludes Hispanics and persons identifying two or more races.,,,,,,,,,,,,,
b/Includes negligent manslaughter.,,,,,,,,,,,,,
"c/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,,,,,,,,,
d/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,
