"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"filename: polemp01.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"title: State and local law enforcement agencies and employees, by State and type of agency, June 1996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source: BJS, Census of State and Local Law Enforcement Agencies, 1996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"author:  Brian Reaves and Andrew Goldberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to: askbjs@ojp.usdoj.gov      (202)307-0765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coordinator:   Brian Reaves",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  6/7/98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"State and local law enforcement agencies and employees,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by State and type of agency, 1996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Local police departments",,,,,,,,"Sheriffs' departments",,,,,,,,"Primary State police departments",,,,,,,,"Special police departments",,,,,,
"All State and local agencies",,,,,,,,"Number of employees",,,,,,,,"Number of employees",,,,,,,,"Number of employees",,,,,,,,"Number of employees",,,,,,,,"Number of employees",
,,,,,,,,"per 10,000 residents",,,,,,,,"per 10,000 residents",,,,,,,,"per 10,000 residents",,,,,,,,"per 10,000 residents",,,,,,,,"per 10,000 residents",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Population","Number of",,"Full-time","Full-time",,"Full-time","Full-time",,"Number of",,"Full-time","Full-time",,"Full-time","Full-time",,"Number of",,"Full-time","Full-time",,"Full-time","Full-time",,"Number of",,"Full-time","Full-time",,"Full-time","Full-time",,"Number of",,"Full-time","Full-time",,"Full-time","Full-time"
"State",,"in 1996","agencies",,"employees","sworn officers",,"employees","sworn officers",,"agencies",,"employees","sworn officers",,"employees","sworn officers",,"agencies",,"employees","sworn officers",,"employees","sworn officers",,"agencies",,"employees","sworn officers",,"employees","sworn officers",,"agencies",,"employees","sworn officers",,"employees","sworn officers"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All States",,265283783,18769,,921978,663535,,35,25,,13578,,521985,410956,,20,15,,3088,,257712,152922,,10,6,,49,,83742,54587,,3,2,,1316,,56229,43082,,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alabama",,4273084,432,,14389,9767,,34,23,,331,,8454,6484,,20,15,,67,,3796,1963,,9,5,,1,,1188,581,,3,1,,33,,951,739,,2,2
"Alaska",,607007,69,,1884,1254,,31,21,,61,,1158,740,,19,12,,15,,4604,1563,,10,4,,1,,448,290,,7,5,,7,,278,224,,5,4
"Arizona",,4428068,130,,16828,10088,,38,23,,88,,9686,6967,,22,16,,75,,2370,1410,,9,6,,1,,1675,952,,1,2,,26,,863,606,,2,1
"Arkansas",,2509793,360,,7958,5819,,32,23,,261,,4124,3244,,16,13,,58,,38603,22869,,12,7,,1,,712,522,,7,2,,23,,752,643,,3,3
"California",,31878234,524,,103967,69134,,33,22,,344,,50491,35939,,16,11,,63,,5168,3324,,14,9,,1,,9132,6219,,0,2,,121,,5741,4107,,2,1
"Colorado",,3822676,247,,14002,9896,,37,26,,163,,7283,5451,,19,14,,8,,889,886,,3,3,,1,,808,581,,24,2,,20,,743,540,,2,1
"Connecticut",,3274238,129,,10319,8525,,32,26,,107,,7625,6411,,23,20,,3,,52,24,,1,0,,1,,1547,1022,,2,3,,13,,258,206,,1,1
"Delaware",,724842,45,,2134,1660,,29,23,,35,,1072,923,,15,13,,65,,27928,14124,,19,10,,1,,760,540,,21,7,,6,,250,173,,3,2
"District of Columbia",,543213,3,,4651,3909,,86,72,,1,,4225,3587,,78,66,,159,,10537,6752,,14,9,,0,,0,0,,0,0,,2,,426,322,,8,6
"Florida",,14399985,385,,60808,37395,,42,26,,289,,28075,19652,,19,14,,44,,1820,1053,,15,9,,1,,2207,1740,,1,1,,30,,2598,1879,,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgia",,7353225,581,,28204,19115,,38,26,,377,,12954,10241,,18,14,,102,,12212,8426,,10,7,,1,,2878,878,,3,1,,44,,1835,1244,,2,2
"Hawaii",,1183723,7,,3745,2989,,32,25,,4,,3471,2746,,29,23,,92,,5721,2618,,10,4,,1,,263,192,,24,2,,3,,274,243,,2,2
"Idaho",,1189251,124,,3674,2524,,31,21,,76,,1428,1142,,12,10,,99,,2364,1343,,8,5,,1,,3579,1988,,0,2,,3,,163,137,,1,1
"Illinois",,11846544,963,,50255,38192,,42,32,,809,,32522,26151,,27,22,,104,,2817,1683,,11,7,,1,,1886,1207,,6,2,,51,,1942,1627,,2,1
"Indiana",,5840528,547,,16378,10931,,28,19,,432,,7965,6426,,14,11,,120,,1270,1113,,3,3,,1,,468,433,,7,2,,22,,806,680,,1,1
"Iowa",,2851792,426,,6799,5043,,24,18,,318,,3664,3037,,13,11,,64,,10652,8720,,24,20,,1,,754,552,,2,2,,8,,303,230,,1,1
"Kansas",,2572150,369,,8736,6183,,34,24,,245,,4732,3616,,18,14,,16,,939,321,,8,3,,1,,1685,984,,2,3,,19,,433,332,,2,1
"Kentucky",,3883723,391,,8544,6466,,22,17,,254,,5157,4089,,13,11,,24,,2445,1438,,5,3,,1,,1226,873,,4,2,,16,,432,280,,1,1
"Louisiana",,4350579,365,,19817,16125,,46,37,,271,,7001,5733,,16,13,,14,,5047,1540,,8,3,,1,,474,337,,10,3,,29,,938,799,,2,2
"Maine",,1243316,141,,3534,2318,,28,19,,115,,1826,1426,,15,11,,83,,7508,4435,,8,5,,1,,2424,1625,,1,3,,9,,295,234,,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maryland",,5071604,147,,18382,13828,,36,27,,78,,11015,8923,,22,18,,87,,4115,2139,,9,5,,1,,2886,2565,,4,4,,44,,2498,1842,,5,4
"Massachusetts",,6092352,390,,24434,17935,,40,29,,341,,15506,13068,,25,21,,82,,2657,1474,,10,5,,1,,3134,2164,,3,2,,34,,995,762,,2,1
"Michigan",,9594350,588,,27490,20568,,29,21,,475,,15735,13288,,16,14,,115,,3250,2421,,6,5,,1,,703,484,,7,1,,29,,1113,681,,1,1
"Minnesota",,4657758,486,,11317,7994,,24,17,,384,,6053,5006,,13,11,,55,,1141,616,,13,7,,1,,782,535,,3,2,,14,,446,365,,1,1
"Mississippi",,2716115,317,,8583,5813,,32,21,,205,,4511,3326,,17,12,,93,,1351,794,,8,5,,1,,2083,996,,1,2,,29,,633,478,,2,2
"Missouri",,5358692,647,,17889,12998,,33,24,,509,,11594,8836,,22,16,,16,,1261,935,,8,6,,1,,277,212,,24,2,,22,,962,745,,2,1
"Montana",,879372,129,,2541,1682,,29,19,,65,,886,690,,10,8,,10,,183,129,,2,1,,1,,638,464,,2,3,,8,,237,164,,3,2
"Nebraska",,1652093,266,,4529,3297,,27,20,,168,,2409,1929,,15,12,,21,,4451,3145,,6,4,,1,,525,375,,4,2,,4,,131,110,,1,1
"Nevada",,1603163,58,,6231,4363,,39,27,,26,,3809,2565,,24,16,,33,,1343,889,,8,5,,1,,333,245,,5,2,,15,,636,488,,4,3
"New Hampshire",,1162481,233,,2957,2305,,25,20,,219,,2351,1862,,20,16,,57,,10150,5852,,6,3,,1,,3644,2702,,0,3,,3,,90,69,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Jersey",,7987933,554,,34940,28058,,44,35,,487,,23829,19891,,30,25,,100,,8948,5264,,12,7,,1,,827,435,,5,3,,45,,3016,2320,,4,3
"New Mexico",,1713407,140,,6182,4134,,36,24,,91,,3593,2462,,21,14,,53,,538,364,,8,6,,1,,4663,3972,,3,2,,15,,419,348,,2,2
"New York",,18184774,598,,88348,71221,,49,39,,476,,65854,54657,,36,30,,88,,8855,5179,,8,5,,1,,1753,1380,,2,2,,64,,7681,6740,,4,4
"North Carolina",,7322870,503,,23263,16953,,32,23,,370,,11546,9505,,16,13,,77,,2138,1014,,6,3,,1,,186,120,,3,2,,32,,1016,804,,1,1
"North Dakota",,643539,142,,1537,1141,,24,18,,81,,686,561,,11,9,,36,,3285,1921,,10,6,,1,,2390,1391,,2,1,,7,,127,96,,2,1
"Ohio",,11172782,938,,32719,23811,,29,21,,808,,19799,15932,,18,14,,67,,1596,1239,,1,1,,1,,1336,756,,4,2,,41,,1675,1309,,1,1
"Oklahoma",,3300902,459,,10491,7232,,32,22,,347,,6348,4951,,19,15,,5,,154,153,,2,2,,1,,1244,824,,4,3,,34,,669,511,,2,2
"Oregon",,3203735,184,,8933,6064,,28,19,,142,,4305,3245,,13,10,,46,,4167,3037,,11,8,,1,,5301,4114,,4,3,,5,,99,74,,0,0
"Pennsylvania",,12056112,1298,,29506,24873,,24,21,,1141,,20427,17655,,17,15,,66,,851,344,,12,5,,1,,236,193,,2,2,,89,,2182,1865,,2,2
"Rhode Island",,990225,51,,3098,2422,,31,24,,40,,2527,1958,,26,20,,95,,6981,3520,,13,7,,1,,1103,892,,3,2,,5,,181,118,,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Carolina",,3698746,264,,11494,8675,,31,23,,192,,4884,4004,,13,11,,254,,21548,11326,,11,6,,1,,229,155,,3,2,,25,,1340,742,,4,2
"South Dakota",,732405,191,,2360,1464,,32,20,,119,,1144,847,,16,12,,29,,1965,1198,,10,6,,1,,1558,768,,3,1,,5,,136,118,,2,2
"Tennessee",,5319654,374,,18746,12152,,35,23,,255,,9206,7076,,17,13,,14,,125,87,,2,1,,1,,6745,2873,,4,2,,23,,1001,788,,2,1
"Texas",,19128261,1861,,73112,47767,,38,25,,735,,37472,28269,,20,15,,125,,7816,6605,,12,10,,1,,402,355,,2,2,,133,,5037,3311,,3,2
"Utah",,2000494,138,,5052,3699,,25,18,,95,,2363,1882,,12,9,,39,,4223,2553,,8,5,,1,,445,290,,8,5,,13,,322,264,,2,1
"Vermont",,588654,69,,1336,981,,23,17,,52,,700,548,,12,9,,55,,1242,726,,7,4,,1,,2249,1662,,3,2,,2,,66,56,,1,1
"Virginia",,6675451,330,,23108,18448,,35,28,,170,,11502,8911,,17,13,,72,,5723,3886,,11,8,,1,,2065,906,,4,2,,34,,1541,1270,,2,2
"Washington",,5532939,277,,14061,9292,,25,17,,223,,7246,5430,,13,10,,23,,913,507,,19,11,,1,,910,595,,5,3,,14,,527,403,,1,1
"West Virginia",,1825754,250,,4074,2977,,22,16,,179,,1652,1416,,9,8,,,,,,,,,,1,,680,497,,1,1,,15,,270,240,,1,1
"Wisconsin",,5159795,567,,16490,12678,,32,25,,471,,9298,7640,,18,15,,,,,,,,,,1,,301,151,,6,3,,23,,789,655,,2,1
"Wyoming",,481400,82,,2149,1377,,45,29,,53,,822,618,,17,13,,,,,,,,,,,,,,,,,,5,,113,101,,2,2
