"Bureau of Justice Statistics",,,,,,
"Filename:  sfcis03.csv",,,,,,
"Table #'s:  3.1-3.10",,,,,,
"Report title:  State and Federal Corrections Information Systems, NCJ 170016",,,,,,
"Data source:  1998 Inventory of State and Federal Corrections Information Systems",,,,,,
"Contact:  Laura Maruschak  (202) 307-5986  email maruscha@ojp.usdoj.gov",,,,,,
"Date of version:  August  14, 1998",,,,,,
,,,,,,
,,,,,,
"Table 3.1.  Number of departments with data elements that describe post-commitment movements ",,,,,,
,,,,,,
,,"In electronic format for--",,,,
,"Questionnaire","More than 75%","Less than 75%","In paper","Have it in","Do not"
"Data element","item number","of offenders","of offenders","format","any format","collect"
"Transfer to another facility in jurisdiction",84,52,0,0,52,0
"Who authorized transfer within jurisdiction",85,16,3,12,31,21
"Date of  transfer within jurisdiction",86,52,0,0,52,0
"Movements within a facility",87,41,2,1,44,8
"Who authorized in-facility movement",88,9,0,11,20,31
"Date of in-facility movement",89,39,3,2,44,8
"Reason for transfer/internal movement*",90,31,0,5,37,15
,,,,,,
"Note:  Data elements with incomplete information are included in 'Have in any format.'  Totals of 'Have in any format' ",,,,,,
"and 'Do not collect' may not add up to 52 departments due to missing  information about individual data elements.",,,,,,
"*One department only records the reason for external transfers.",,,,,,
,,,,,,
,,,,,,
"Table 3.2.  Number of departments with data elements that describe offender program participation ",,,,,,
,,,,,,
,,"In electronic format for--",,,,
,"Questionnaire","More than 75%","Less than 75%","In paper","Have it in","Do not"
"Data element","item number","of offenders","of offenders","format","any format","collect"
"Offender eligibility for program",138,20,2,11,33,18
"Type of program",139,28,4,10,42,9
"Reason for program outcome",140,8,3,14,25,26
"Authorization for program\a",141,8,1,15,24,27
"If regular ongoing prison program\b",142,20,2,12,34,15
"Location of program",143,23,4,11,38,13
"Program intensity",144,14,6,14,34,17
"Length of program",145,15,4,16,35,16
"Date offender began program",146,28,5,8,41,10
"Date offender ended program",147,26,6,9,41,10
"Outcome of drug participation program",148,21,7,11,39,12
,,,,,,
"Note:  Data elements with incomplete information are included in 'Have in any format.'  Totals of 'Have in any format' ",,,,,,
"and 'Do not collect' may not add up to 52 departments due to missing  information about individual data elements.",,,,,,
"a\One department reports that program participation is voluntary.",,,,,,
"b\One department only records information for a substance abuse program.",,,,,,
,,,,,,
,,,,,,
"Table 3.3.  Number of departments with data elements that describe drug testing",,,,,,
,,,,,,
,,"In electronic format for--",,,,
,"Questionnaire","More than 75%","Less than 75%","In paper","Have it in","Do not"
"Data element","item number","of offenders","of offenders","format","any format","collect"
"Tested for drug use since admission*",117,14,4,15,33,19
"Date of last drug test*",118,12,3,17,32,20
,,,,,,
"Note:  Data elements with incomplete information are included in 'Have in any format.'  Totals of 'Have in any format' ",,,,,,
"and 'Do not collect' may not add up to 52 departments due to missing  information about individual data elements.",,,,,,
"*One department records aggreagate information electronically; individual offender information is recorded in paper format.",,,,,,
,,,,,,
,,,,,,
"Table 3.4.  Number of departments with data elements that describe medical care",,,,,,
,,,,,,
,,"In electronic format for--",,,,
,"Questionnaire","More than 75%","Less than 75%","In paper","Have it in","Do not"
"Data element","item number","of offenders","of offenders","format","any format","collect"
"Type of medical treatment\a,b",202,13,4,24,41,11
"Date offender treatment began\a,b",203,13,4,24,41,11
"Date offender treatment ended\a,b",204,13,4,24,41,11
"Cost of medical treatment per offender\a,b",205,7,2,18,27,24
"Current medical condition of offender\a,b",206,18,5,18,41,10
"Medical conditions developed in custody\a,b,c",207,10,4,20,35,17
,,,,,,
"Note:  Data elements with incomplete information are included in 'Have in any format.'  Totals of 'Have in any format' ",,,,,,
"and 'Do not collect' may not add up to 52 departments due to missing  information about individual data elements.",,,,,,
"a\One department records this information only for tuberculosis cases.",,,,,,
"b\One department only records this information if medical treatment is provided by an outside facility.",,,,,,
"c\One department can calculate this information from other data elements.",,,,,,
,,,,,,
,,,,,,
"Table 3.5.  Number of departments with data elements that describe good time and other adjustments",,,,,,
" to sentences",,,,,,
,,"In electronic format for--",,,,
,"Questionnaire","More than 75%","Less than 75%","In paper","Have it in","Do not"
"Data element","item number","of offenders","of offenders","format","any format","collect"
"Change in sentence length due to modifications\a",74,34,2,3,39,12
"Reason for change in sentence length",75,29,1,7,37,13
"Amount of change in sentence length\a",76,21,0,3,24,26
