Bureau of Justice Statistics,,,,,,,
Filename: slleta06t03.csv,,,,,,,
"Table 3. Types of instructors in state and local law enforcement training academies, 2006",,,,,,,
"Report Title: State and Local Law Enforcement Training Academies, 2006 NCJ 222987",,,,,,,
Data Source: BJS Census of Law Enforcement Training Academies,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,
Author: Brian Reaves,,,,,,,
Date of version: 2/23/2009,,,,,,,
,,,,,,,
"Table 3. Types of instructors in state and local law enforcement training academies, 2006",,,,,,,
,,Full-time,,,Part-time,,
,,Number,Percent,,Number,Percent,
Total,,"10,193",100,%,"28,001",100,%
,Permanent sworn,"3,932",39,,"1,903",7,
,On-duty sworn,"1,575",15,,"5,533",20,
,Off-duty sworn,"1,804",18,,"12,869",46,
,Civilian,"1,635",16,,"1,634",6,
,Contractor,149,1,,"2,205",8,
,Other,"1,098",11,,"3,857",14,
Note: Detail may not add to total because of rounding.,,,,,,,
